注文番号,アルゴ注文番号,繰越区分,状況,状況(逆指値),セット注文,注文日時,執行条件,注文期限,銘柄,銘柄コード・市場,取引,売買,口座,注文方法,アルゴ注文情報,逆指値条件,セット注文条件,信用区分(弁済期限),注文数量[株/口],約定数量[株/口],注文金額[円],（ポイント利用）,注文単価[円],約定単価[円],現在値[円],約定代金[円],手数料[円]
"8197","","","約定","市場執行済","-","03/06 09:26:01","本日中","2026/03/06","ＮＦ日経レバ","1570 東証(SOR)","信用返済","買埋","特定","通常注文","-","-","-","制度(6ヶ月)","1","1","-","-","50,650.0","50,610.0","50,620.0","50,610","0"
"8196","","","約定","市場執行済","-","03/06 09:26:01","本日中","2026/03/06","ＮＦ日経レバ","1570 東証(SOR)","信用返済","買埋","特定","通常注文","-","-","-","制度(6ヶ月)","1","1","-","-","50,650.0","50,610.0","50,620.0","50,610","0"
"8195","","","約定","-","-","03/06 09:25:39","本日中","2026/03/06","ＮＦ日経レバ","1570 東証(SOR)","信用新規","売建","特定","通常注文","-","-","-","制度(6ヶ月)","1","1","-","-","50,710.0","50,710.0","50,620.0","50,710","0"
"8194","","","-","取消済","-","03/06 09:25:27","-","-","ＮＦ日経レバ","1570 東証(SOR)","信用返済","買埋","特定","逆指値注文","-","市場価格が50,860円以上なら成行で執行(本日中)","-","制度(6ヶ月)","1","0","-","-","-","-","50,620.0","0","0"
"8193","","","約定","-","-","03/06 09:25:17","本日中","2026/03/06","ＮＦ日経レバ","1570 東証(SOR)","信用新規","売建","特定","通常注文","-","-","-","制度(6ヶ月)","1","1","-","-","50,660.0","50,740.0","50,620.0","50,740","0"
"8192","","","約定","市場執行済","-","03/06 09:23:46","本日中","2026/03/06","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","50,950.0","50,950.0","50,620.0","50,950","0"
"8191","","","約定","市場執行済","-","03/06 09:23:46","本日中","2026/03/06","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","50,950.0","50,950.0","50,620.0","50,950","0"
"8190","","","約定","-","-","03/06 09:23:28","本日中","2026/03/06","ＮＦ日経レバ","1570 東証(SOR)","信用新規","買建","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","50,980.0","50,980.0","50,620.0","50,980","0"
"8189","","","-","取消済","-","03/06 09:23:18","-","-","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","逆指値注文","-","市場価格が50,820円以下なら成行で執行(本日中)","-","一般(1日)","1","0","-","-","-","-","50,620.0","0","0"
"8188","","","約定","-","-","03/06 09:23:14","本日中","2026/03/06","ＮＦ日経レバ","1570 東証(SOR)","信用新規","買建","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","50,960.0","50,940.0","50,620.0","50,940","0"
