注文番号,アルゴ注文番号,繰越区分,状況,状況(逆指値),セット注文,注文日時,執行条件,注文期限,銘柄,銘柄コード・市場,取引,売買,口座,注文方法,アルゴ注文情報,逆指値条件,セット注文条件,信用区分(弁済期限),注文数量[株/口],約定数量[株/口],注文金額[円],（ポイント利用）,注文単価[円],約定単価[円],現在値[円],約定代金[円],手数料[円]
"6444","","","約定","市場執行済","-","12/12 10:09:39","本日中","2025/12/12","ＮＦ日経レバ","1570 東証(SOR)","信用返済","買埋","特定","通常注文","-","-","-","制度(6ヶ月)","1","1","-","-","43,810.0","43,810.0","43,820.0","43,810","0"
"6443","","","約定","市場執行済","-","12/12 10:09:38","本日中","2025/12/12","ＮＦ日経レバ","1570 東証(SOR)","信用返済","買埋","特定","通常注文","-","-","-","制度(6ヶ月)","1","1","-","-","43,810.0","43,810.0","43,820.0","43,810","0"
"6442","","","約定","市場執行済","-","12/12 10:09:37","本日中","2025/12/12","ＮＦ日経レバ","1570 東証(SOR)","信用返済","買埋","特定","通常注文","-","-","-","制度(6ヶ月)","2","2","-","-","43,810.0","43,810.0","43,820.0","87,620","0"
"6441","","","約定","-","-","12/12 10:07:31","本日中","2025/12/12","ＮＦ日経レバ","1570 東証(SOR)","信用新規","売建","特定","通常注文","-","-","-","制度(6ヶ月)","1","1","-","-","43,900.0","43,900.0","43,820.0","43,900","0"
"6440","","","-","取消済","-","12/12 10:07:11","-","-","ＮＦ日経レバ","1570 東証(SOR)","信用返済","買埋","特定","逆指値注文","-","市場価格が44,080円以上なら成行で執行(本日中)","-","制度(6ヶ月)","2","0","-","-","-","-","43,820.0","0","0"
"6439","","","-","取消済","-","12/12 10:07:10","-","-","ＮＦ日経レバ","1570 東証(SOR)","信用返済","買埋","特定","逆指値注文","-","市場価格が44,220円以上なら成行で執行(本日中)","-","制度(6ヶ月)","1","0","-","-","-","-","43,820.0","0","0"
"6438","","","約定","-","-","12/12 10:07:09","本日中","2025/12/12","ＮＦ日経レバ","1570 東証(SOR)","信用新規","売建","特定","通常注文","-","-","-","制度(6ヶ月)","2","2","-","-","43,920.0","43,920.0","43,820.0","87,840","0"
"6437","","","-","取消済","-","12/12 10:06:05","-","-","ＮＦ日経レバ","1570 東証(SOR)","信用返済","買埋","特定","逆指値注文","-","市場価格が44,220円以上なら成行で執行(本日中)","-","制度(6ヶ月)","1","0","-","-","-","-","43,820.0","0","0"
"6436","","","約定","-","-","12/12 10:05:44","本日中","2025/12/12","ＮＦ日経レバ","1570 東証(SOR)","信用新規","売建","特定","通常注文","-","-","-","制度(6ヶ月)","1","1","-","-","43,980.0","43,980.0","43,820.0","43,980","0"
"6435","","","約定","市場執行済","-","12/12 10:04:08","本日中","2025/12/12","ＮＦ日経レバ","1570 東証(SOR)","信用返済","買埋","特定","通常注文","-","-","-","制度(6ヶ月)","2","2","-","-","44,050.0","44,050.0","43,820.0","88,100","0"
"6434","","","約定","市場執行済","-","12/12 10:04:07","本日中","2025/12/12","ＮＦ日経レバ","1570 東証(SOR)","信用返済","買埋","特定","通常注文","-","-","-","制度(6ヶ月)","1","1","-","-","44,050.0","44,050.0","43,820.0","44,050","0"
"6433","","","約定","市場執行済","-","12/12 10:04:06","本日中","2025/12/12","ＮＦ日経レバ","1570 東証(SOR)","信用返済","買埋","特定","通常注文","-","-","-","制度(6ヶ月)","1","1","-","-","44,050.0","44,050.0","43,820.0","44,050","0"
"6432","","","約定","-","-","12/12 10:02:48","本日中","2025/12/12","ＮＦ日経レバ","1570 東証(SOR)","信用新規","売建","特定","通常注文","-","-","-","制度(6ヶ月)","1","1","-","-","44,070.0","44,070.0","43,820.0","44,070","0"
"6431","","","-","取消済","-","12/12 10:02:23","-","-","ＮＦ日経レバ","1570 東証(SOR)","信用返済","買埋","特定","逆指値注文","-","市場価格が44,270円以上なら成行で執行(本日中)","-","制度(6ヶ月)","2","0","-","-","-","-","43,820.0","0","0"
"6430","","","-","取消済","-","12/12 10:02:22","-","-","ＮＦ日経レバ","1570 東証(SOR)","信用返済","買埋","特定","逆指値注文","-","市場価格が44,280円以上なら成行で執行(本日中)","-","制度(6ヶ月)","1","0","-","-","-","-","43,820.0","0","0"
"6429","","","約定","-","-","12/12 10:02:14","本日中","2025/12/12","ＮＦ日経レバ","1570 東証(SOR)","信用新規","売建","特定","通常注文","-","-","-","制度(6ヶ月)","2","2","-","-","44,080.0","44,080.0","43,820.0","88,160","0"
"6428","","","-","取消済","-","12/12 10:02:04","-","-","ＮＦ日経レバ","1570 東証(SOR)","信用返済","買埋","特定","逆指値注文","-","市場価格が44,280円以上なら成行で執行(本日中)","-","制度(6ヶ月)","1","0","-","-","-","-","43,820.0","0","0"
"6427","","","約定","-","-","12/12 10:02:01","本日中","2025/12/12","ＮＦ日経レバ","1570 東証(SOR)","信用新規","売建","特定","通常注文","-","-","-","制度(6ヶ月)","1","1","-","-","44,120.0","44,120.0","43,820.0","44,120","0"
