注文番号,アルゴ注文番号,繰越区分,状況,状況(逆指値),セット注文,注文日時,執行条件,注文期限,銘柄,銘柄コード・市場,取引,売買,口座,注文方法,アルゴ注文情報,逆指値条件,セット注文条件,信用区分(弁済期限),注文数量[株/口],約定数量[株/口],注文金額[円],（ポイント利用）,注文単価[円],約定単価[円],現在値[円],約定代金[円],手数料[円]
"8096","","","約定","市場執行済","-","03/03 09:36:33","本日中","2026/03/03","ＮＦ日経レバ","1570 東証(SOR)","信用返済","買埋","特定","通常注文","-","-","-","制度(6ヶ月)","1","1","-","-","55,730.0","55,730.0","55,660.0","55,730","0"
"8095","","","約定","-","-","03/03 09:36:08","本日中","2026/03/03","ＮＦ日経レバ","1570 東証(SOR)","信用新規","売建","特定","通常注文","-","-","-","制度(6ヶ月)","1","1","-","-","55,730.0","55,730.0","55,660.0","55,730","0"
"8094","","","約定","市場執行済","-","03/03 09:35:19","本日中","2026/03/03","ＮＦ日経レバ","1570 東証(SOR)","信用返済","買埋","特定","通常注文","-","-","-","制度(6ヶ月)","1","1","-","-","55,720.0","55,720.0","55,660.0","55,720","0"
"8093","","","約定","-","-","03/03 09:35:02","本日中","2026/03/03","ＮＦ日経レバ","1570 東証(SOR)","信用新規","売建","特定","通常注文","-","-","-","制度(6ヶ月)","1","1","-","-","55,710.0","55,710.0","55,660.0","55,710","0"
"8092","","","約定","市場執行済","-","03/03 09:34:27","本日中","2026/03/03","ＮＦ日経レバ","1570 東証(SOR)","信用返済","買埋","特定","通常注文","-","-","-","制度(6ヶ月)","1","1","-","-","55,680.0","55,680.0","55,660.0","55,680","0"
"8091","","","取消済（出来無）","-","-","03/03 09:34:11","本日中","2026/03/03","ＮＦ日経レバ","1570 東証(SOR)","信用新規","売建","特定","通常注文","-","-","-","制度(6ヶ月)","1","0","-","-","55,720.0","-","55,660.0","0","0"
"8090","","","-","取消済","-","03/03 09:33:58","-","-","ＮＦ日経レバ","1570 東証(SOR)","信用返済","買埋","特定","逆指値注文","-","市場価格が55,840円以上なら成行で執行(本日中)","-","制度(6ヶ月)","1","0","-","-","-","-","55,660.0","0","0"
"8089","","","約定","-","-","03/03 09:33:55","本日中","2026/03/03","ＮＦ日経レバ","1570 東証(SOR)","信用新規","売建","特定","通常注文","-","-","-","制度(6ヶ月)","1","1","-","-","55,720.0","55,730.0","55,660.0","55,730","0"
"8088","","","約定","市場執行済","-","03/03 09:31:50","本日中","2026/03/03","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","55,690.0","55,690.0","55,660.0","55,690","0"
"8087","","","約定","市場執行済","-","03/03 09:31:50","本日中","2026/03/03","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","55,690.0","55,690.0","55,660.0","55,690","0"
