注文番号,アルゴ注文番号,繰越区分,状況,状況(逆指値),セット注文,注文日時,執行条件,注文期限,銘柄,銘柄コード・市場,取引,売買,口座,注文方法,アルゴ注文情報,逆指値条件,セット注文条件,信用区分(弁済期限),注文数量[株/口],約定数量[株/口],注文金額[円],（ポイント利用）,注文単価[円],約定単価[円],現在値[円],約定代金[円],手数料[円]
"7078","","","約定","-","-","12/26 09:21:55","本日中","2025/12/26","ＮＦ日経レバ","1570 東証(SOR)","信用新規","売建","特定","通常注文","-","-","-","制度(6ヶ月)","1","1","-","-","43,640.0","43,655.0","43,950.0","43,655","0"
"7077","","","約定","市場執行済","-","12/26 09:21:21","本日中","2025/12/26","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","43,630.0","43,640.0","43,950.0","43,640","0"
"7076","","","約定","-","-","12/26 09:20:56","本日中","2025/12/26","ＮＦ日経レバ","1570 東証(SOR)","信用新規","買建","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","43,630.0","43,630.0","43,950.0","43,630","0"
"7075","","","約定","市場執行済","-","12/26 09:20:44","本日中","2025/12/26","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","43,630.0","43,630.0","43,950.0","43,630","0"
"7074","","","約定","-","-","12/26 09:20:26","本日中","2025/12/26","ＮＦ日経レバ","1570 東証(SOR)","信用新規","買建","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","43,630.0","43,630.0","43,950.0","43,630","0"
"7073","","","約定","市場執行済","-","12/26 09:20:17","本日中","2025/12/26","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","43,620.0","43,630.0","43,950.0","43,630","0"
"7072","","","約定","-","-","12/26 09:19:45","本日中","2025/12/26","ＮＦ日経レバ","1570 東証(SOR)","信用新規","買建","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","43,680.0","43,670.0","43,950.0","43,670","0"
"7071","","","約定","市場執行済","-","12/26 09:19:16","本日中","2025/12/26","ＮＦ日経レバ","1570 東証(SOR)","信用返済","買埋","特定","通常注文","-","-","-","制度(6ヶ月)","1","1","-","-","43,690.0","43,690.0","43,950.0","43,690","0"
"7070","","","約定","-","-","12/26 09:18:43","本日中","2025/12/26","ＮＦ日経レバ","1570 東証(SOR)","信用新規","売建","特定","通常注文","-","-","-","制度(6ヶ月)","1","1","-","-","43,590.0","43,600.0","43,950.0","43,600","0"
"7069","","","約定","市場執行済","-","12/26 09:17:20","本日中","2025/12/26","ＮＦ日経レバ","1570 東証(SOR)","信用返済","買埋","特定","通常注文","-","-","-","制度(6ヶ月)","1","1","-","-","43,560.0","43,560.0","43,950.0","43,560","0"
"7068","","","約定","市場執行済","-","12/26 09:17:20","本日中","2025/12/26","ＮＦ日経レバ","1570 東証(SOR)","信用返済","買埋","特定","通常注文","-","-","-","制度(6ヶ月)","2","2","-","-","43,560.0","43,560.0","43,950.0","87,120","0"
"7067","","","約定","-","-","12/26 09:16:27","本日中","2025/12/26","ＮＦ日経レバ","1570 東証(SOR)","信用新規","売建","特定","通常注文","-","-","-","制度(6ヶ月)","2","2","-","-","43,560.0","43,560.0","43,950.0","87,120","0"
"7066","","","-","取消済","-","12/26 09:16:22","-","-","ＮＦ日経レバ","1570 東証(SOR)","信用返済","買埋","特定","逆指値注文","-","市場価格が43,730円以上なら成行で執行(本日中)","-","制度(6ヶ月)","1","0","-","-","-","-","43,950.0","0","0"
"7065","","","約定","-","-","12/26 09:16:15","本日中","2025/12/26","ＮＦ日経レバ","1570 東証(SOR)","信用新規","売建","特定","通常注文","-","-","-","制度(6ヶ月)","1","1","-","-","43,570.0","43,570.0","43,950.0","43,570","0"
"7064","","","約定","市場執行済","-","12/26 09:16:08","本日中","2025/12/26","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","43,590.0","43,590.0","43,950.0","43,590","0"
"7063","","","約定","-","-","12/26 09:15:35","本日中","2025/12/26","ＮＦ日経レバ","1570 東証(SOR)","信用新規","買建","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","43,640.0","43,640.0","43,950.0","43,640","0"
"7062","","","約定","市場執行済","-","12/26 09:14:40","本日中","2025/12/26","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","43,650.0","43,650.0","43,950.0","43,650","0"
"7061","","","約定","-","-","12/26 09:13:36","本日中","2025/12/26","ＮＦ日経レバ","1570 東証(SOR)","信用新規","買建","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","43,710.0","43,695.0","43,950.0","43,695","0"
"7060","","","約定","市場執行済","-","12/26 09:13:03","本日中","2025/12/26","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","43,640.0","43,640.0","43,950.0","43,640","0"
"7059","","","約定","-","-","12/26 09:12:57","本日中","2025/12/26","ＮＦ日経レバ","1570 東証(SOR)","信用新規","買建","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","43,620.0","43,620.0","43,950.0","43,620","0"
"7058","","","約定","市場執行済","-","12/26 09:11:17","本日中","2025/12/26","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","43,640.0","43,645.0","43,950.0","43,645","0"
"7057","","","約定","-","-","12/26 09:10:50","本日中","2025/12/26","ＮＦ日経レバ","1570 東証(SOR)","信用新規","買建","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","43,630.0","43,630.0","43,950.0","43,630","0"
"7056","","","約定","市場執行済","-","12/26 09:10:38","本日中","2025/12/26","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","2","2","-","-","43,610.0","43,610.0","43,950.0","87,220","0"
"7055","","","約定","市場執行済","-","12/26 09:10:38","本日中","2025/12/26","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","43,610.0","43,610.0","43,950.0","43,610","0"
"7054","","","約定","-","-","12/26 09:09:27","本日中","2025/12/26","ＮＦ日経レバ","1570 東証(SOR)","信用新規","買建","特定","通常注文","-","-","-","一般(1日)","2","2","-","-","43,710.0","43,700.0","43,950.0","87,400","0"
"7053","","","-","取消済","-","12/26 09:09:18","-","-","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","逆指値注文","-","市場価格が43,550円以下なら成行で執行(本日中)","-","一般(1日)","1","0","-","-","-","-","43,950.0","0","0"
"7052","","","約定","-","-","12/26 09:09:16","本日中","2025/12/26","ＮＦ日経レバ","1570 東証(SOR)","信用新規","買建","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","43,690.0","43,690.0","43,950.0","43,690","0"
"7051","","","約定","市場執行済","-","12/26 09:08:11","本日中","2025/12/26","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","3","3","-","-","成行","43,665.0","43,950.0","130,995","0"
"7050","","","約定","市場執行済","-","12/26 09:08:27","本日中","2025/12/26","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","43,620.0","43,640.0","43,950.0","43,640","0"
"7049","","","約定","-","-","12/26 09:07:36","本日中","2025/12/26","ＮＦ日経レバ","1570 東証(SOR)","信用新規","買建","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","43,790.0","43,780.0","43,950.0","43,780","0"
"7048","","","-","取消済","-","12/26 09:07:30","-","-","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","逆指値注文","-","市場価格が43,640円以下なら成行で執行(本日中)","-","一般(1日)","2","0","-","-","-","-","43,950.0","0","0"
