注文番号,アルゴ注文番号,繰越区分,状況,状況(逆指値),セット注文,注文日時,執行条件,注文期限,銘柄,銘柄コード・市場,取引,売買,口座,注文方法,アルゴ注文情報,逆指値条件,セット注文条件,信用区分(弁済期限),注文数量[株/口],約定数量[株/口],注文金額[円],（ポイント利用）,注文単価[円],約定単価[円],現在値[円],約定代金[円],手数料[円]
"6066","","","約定","市場執行済","-","12/10 09:16:00","本日中","2025/12/10","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","44,370.0","44,370.0","43,350.0","44,370","0"
"6065","","","取消済（出来無）","市場執行済","-","12/10 09:13:39","本日中","2025/12/10","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","1","0","-","-","44,460.0","-","43,350.0","0","0"
"6064","","","取消済（出来無）","-","-","12/10 09:13:13","本日中","2025/12/10","ＮＦ日経レバ","1570 東証(SOR)","信用新規","買建","特定","通常注文","-","-","-","一般(1日)","2","0","-","-","44,430.0","-","43,350.0","0","0"
"6063","","","-","取消済","-","12/10 09:13:02","-","-","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","逆指値注文","-","市場価格が44,270円以下なら成行で執行(本日中)","-","一般(1日)","1","0","-","-","-","-","43,350.0","0","0"
"6062","","","取消済（出来無）","-","-","12/10 09:12:56","本日中","2025/12/10","ＮＦ日経レバ","1570 東証(SOR)","信用新規","買建","特定","通常注文","-","-","-","一般(1日)","2","0","-","-","44,430.0","-","43,350.0","0","0"
"6061","","","-","取消済","-","12/10 09:12:46","-","-","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","逆指値注文","-","市場価格が44,270円以下なら成行で執行(本日中)","-","一般(1日)","1","0","-","-","-","-","43,350.0","0","0"
"6060","","","約定","-","-","12/10 09:12:44","本日中","2025/12/10","ＮＦ日経レバ","1570 東証(SOR)","信用新規","買建","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","44,410.0","44,410.0","43,350.0","44,410","0"
"6059","","","約定","市場執行済","-","12/10 09:12:23","本日中","2025/12/10","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","44,370.0","44,370.0","43,350.0","44,370","0"
"6058","","","約定","市場執行済","-","12/10 09:12:23","本日中","2025/12/10","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","2","2","-","-","44,370.0","44,370.0","43,350.0","88,740","0"
"6057","","","約定","市場執行済","-","12/10 09:12:22","本日中","2025/12/10","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","44,370.0","44,370.0","43,350.0","44,370","0"
"6056","","","約定","-","-","12/10 09:10:16","本日中","2025/12/10","ＮＦ日経レバ","1570 東証(SOR)","信用新規","買建","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","44,350.0","44,350.0","43,350.0","44,350","0"
"6055","","","-","取消済","-","12/10 09:09:38","-","-","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","逆指値注文","-","市場価格が44,210円以下なら成行で執行(本日中)","-","一般(1日)","2","0","-","-","-","-","43,350.0","0","0"
"6054","","","-","取消済","-","12/10 09:09:36","-","-","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","逆指値注文","-","市場価格が44,170円以下なら成行で執行(本日中)","-","一般(1日)","1","0","-","-","-","-","43,350.0","0","0"
"6053","","","約定","-","-","12/10 09:09:35","本日中","2025/12/10","ＮＦ日経レバ","1570 東証(SOR)","信用新規","買建","特定","通常注文","-","-","-","一般(1日)","2","2","-","-","44,350.0","44,340.0","43,350.0","88,680","0"
"6052","","","-","取消済","-","12/10 09:09:06","-","-","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","逆指値注文","-","市場価格が44,170円以下なら成行で執行(本日中)","-","一般(1日)","1","0","-","-","-","-","43,350.0","0","0"
"6051","","","約定","-","-","12/10 09:08:50","本日中","2025/12/10","ＮＦ日経レバ","1570 東証(SOR)","信用新規","買建","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","44,330.0","44,330.0","43,350.0","44,330","0"
"6050","","","約定","市場執行済","-","12/10 09:08:38","本日中","2025/12/10","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","44,310.0","44,310.0","43,350.0","44,310","0"
"6049","","","約定","-","-","12/10 09:07:52","本日中","2025/12/10","ＮＦ日経レバ","1570 東証(SOR)","信用新規","買建","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","44,340.0","44,340.0","43,350.0","44,340","0"
"6048","","","約定","市場執行済","-","12/10 09:07:38","本日中","2025/12/10","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","2","2","-","-","44,350.0","44,350.0","43,350.0","88,700","0"
"6047","","","約定","市場執行済","-","12/10 09:07:37","本日中","2025/12/10","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","44,360.0","44,360.0","43,350.0","44,360","0"
"6046","","","約定","-","-","12/10 09:07:14","本日中","2025/12/10","ＮＦ日経レバ","1570 東証(SOR)","信用新規","買建","特定","通常注文","-","-","-","一般(1日)","2","2","-","-","44,320.0","44,320.0","43,350.0","88,640","0"
"6045","","","-","取消済","-","12/10 09:06:45","-","-","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","逆指値注文","-","市場価格が44,170円以下なら成行で執行(本日中)","-","一般(1日)","1","0","-","-","-","-","43,350.0","0","0"
"6044","","","約定","-","-","12/10 09:06:43","本日中","2025/12/10","ＮＦ日経レバ","1570 東証(SOR)","信用新規","買建","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","44,310.0","44,310.0","43,350.0","44,310","0"
