注文番号,アルゴ注文番号,繰越区分,状況,状況(逆指値),セット注文,注文日時,執行条件,注文期限,銘柄,銘柄コード・市場,取引,売買,口座,注文方法,アルゴ注文情報,逆指値条件,セット注文条件,信用区分(弁済期限),注文数量[株/口],約定数量[株/口],注文金額[円],（ポイント利用）,注文単価[円],約定単価[円],現在値[円],約定代金[円],手数料[円]
"7634","","","約定","市場執行済","-","01/27 09:02:50","本日中","2026/01/27","ＮＦ日経レバ","1570 東証(SOR)","信用返済","買埋","特定","通常注文","-","-","-","制度(6ヶ月)","1","1","-","-","46,920.0","46,920.0","47,220.0","46,920","0"
"7633","","","約定","市場執行済","-","01/27 09:02:50","本日中","2026/01/27","ＮＦ日経レバ","1570 東証(SOR)","信用返済","買埋","特定","通常注文","-","-","-","制度(6ヶ月)","1","1","-","-","46,920.0","46,920.0","47,220.0","46,920","0"
"7632","","","約定","-","-","01/27 09:02:42","本日中","2026/01/27","ＮＦ日経レバ","1570 東証(SOR)","信用新規","売建","特定","通常注文","-","-","-","制度(6ヶ月)","1","1","-","-","46,920.0","46,920.0","47,220.0","46,920","0"
"7631","","","-","取消済","-","01/27 09:02:34","-","-","ＮＦ日経レバ","1570 東証(SOR)","信用返済","買埋","特定","逆指値注文","-","市場価格が47,090円以上なら成行で執行(本日中)","-","制度(6ヶ月)","1","0","-","-","-","-","47,220.0","0","0"
"7630","","","約定","-","-","01/27 09:02:31","本日中","2026/01/27","ＮＦ日経レバ","1570 東証(SOR)","信用新規","売建","特定","通常注文","-","-","-","制度(6ヶ月)","1","1","-","-","46,930.0","46,940.0","47,220.0","46,940","0"
"7629","","","約定","市場執行済","-","01/27 09:02:09","本日中","2026/01/27","ＮＦ日経レバ","1570 東証(SOR)","信用返済","買埋","特定","通常注文","-","-","-","制度(6ヶ月)","2","2","-","-","46,920.0","46,920.0","47,220.0","93,840","0"
"7628","","","約定","市場執行済","-","01/27 09:02:09","本日中","2026/01/27","ＮＦ日経レバ","1570 東証(SOR)","信用返済","買埋","特定","通常注文","-","-","-","制度(6ヶ月)","1","1","-","-","46,920.0","46,920.0","47,220.0","46,920","0"
"7627","","","約定","市場執行済","-","01/27 09:02:09","本日中","2026/01/27","ＮＦ日経レバ","1570 東証(SOR)","信用返済","買埋","特定","通常注文","-","-","-","制度(6ヶ月)","1","1","-","-","46,920.0","46,920.0","47,220.0","46,920","0"
"7626","","","約定","-","-","01/27 09:01:14","本日中","2026/01/27","ＮＦ日経レバ","1570 東証(SOR)","信用新規","売建","特定","通常注文","-","-","-","制度(6ヶ月)","1","1","-","-","46,980.0","46,980.0","47,220.0","46,980","0"
"7625","","","-","取消済","-","01/27 09:00:53","-","-","ＮＦ日経レバ","1570 東証(SOR)","信用返済","買埋","特定","逆指値注文","-","市場価格が47,150円以上なら成行で執行(本日中)","-","制度(6ヶ月)","2","0","-","-","-","-","47,220.0","0","0"
"7624","","","-","取消済","-","01/27 09:00:51","-","-","ＮＦ日経レバ","1570 東証(SOR)","信用返済","買埋","特定","逆指値注文","-","市場価格が47,180円以上なら成行で執行(本日中)","-","制度(6ヶ月)","1","0","-","-","-","-","47,220.0","0","0"
"7623","","","約定","-","-","01/27 09:00:45","本日中","2026/01/27","ＮＦ日経レバ","1570 東証(SOR)","信用新規","売建","特定","通常注文","-","-","-","制度(6ヶ月)","2","2","-","-","47,010.0","47,010.0","47,220.0","94,020","0"
"7622","","","-","取消済","-","01/27 09:00:37","-","-","ＮＦ日経レバ","1570 東証(SOR)","信用返済","買埋","特定","逆指値注文","-","市場価格が47,180円以上なら成行で執行(本日中)","-","制度(6ヶ月)","1","0","-","-","-","-","47,220.0","0","0"
"7621","","","約定","-","-","01/27 09:00:34","本日中","2026/01/27","ＮＦ日経レバ","1570 東証(SOR)","信用新規","売建","特定","通常注文","-","-","-","制度(6ヶ月)","1","1","-","-","47,040.0","47,050.0","47,220.0","47,050","0"
