注文番号,アルゴ注文番号,繰越区分,状況,状況(逆指値),セット注文,注文日時,執行条件,注文期限,銘柄,銘柄コード・市場,取引,売買,口座,注文方法,アルゴ注文情報,逆指値条件,セット注文条件,信用区分(弁済期限),注文数量[株/口],約定数量[株/口],注文金額[円],（ポイント利用）,注文単価[円],約定単価[円],現在値[円],約定代金[円],手数料[円]
"7325","","","約定","市場執行済","-","01/14 09:13:38","本日中","2026/01/14","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","49,750.0","49,750.0","49,490.0","49,750","0"
"7324","","","約定","市場執行済","-","01/14 09:13:38","本日中","2026/01/14","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","49,750.0","49,750.0","49,490.0","49,750","0"
"7323","","","約定","-","-","01/14 09:13:20","本日中","2026/01/14","ＮＦ日経レバ","1570 東証(SOR)","信用新規","買建","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","49,770.0","49,770.0","49,490.0","49,770","0"
"7322","","","-","取消済","-","01/14 09:13:14","-","-","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","逆指値注文","-","市場価格が49,620円以下なら成行で執行(本日中)","-","一般(1日)","1","0","-","-","-","-","49,490.0","0","0"
"7321","","","約定","-","-","01/14 09:13:10","本日中","2026/01/14","ＮＦ日経レバ","1570 東証(SOR)","信用新規","買建","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","49,740.0","49,740.0","49,490.0","49,740","0"
"7320","","","約定","市場執行済","-","01/14 09:12:18","本日中","2026/01/14","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","49,640.0","49,640.0","49,490.0","49,640","0"
"7319","","","約定","市場執行済","-","01/14 09:12:18","本日中","2026/01/14","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","2","2","-","-","49,640.0","49,640.0","49,490.0","99,280","0"
"7318","","","約定","-","-","01/14 09:12:09","本日中","2026/01/14","ＮＦ日経レバ","1570 東証(SOR)","信用新規","買建","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","49,640.0","49,630.0","49,490.0","49,630","0"
"7317","","","-","取消済","-","01/14 09:12:03","-","-","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","逆指値注文","-","市場価格が49,400円以下なら成行で執行(本日中)","-","一般(1日)","2","0","-","-","-","-","49,490.0","0","0"
"7316","","","約定","-","-","01/14 09:11:54","本日中","2026/01/14","ＮＦ日経レバ","1570 東証(SOR)","信用新規","買建","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","49,560.0","49,560.0","49,490.0","49,560","0"
