注文番号,アルゴ注文番号,繰越区分,状況,状況(逆指値),セット注文,注文日時,執行条件,注文期限,銘柄,銘柄コード・市場,取引,売買,口座,注文方法,アルゴ注文情報,逆指値条件,セット注文条件,信用区分(弁済期限),注文数量[株/口],約定数量[株/口],注文金額[円],（ポイント利用）,注文単価[円],約定単価[円],現在値[円],約定代金[円],手数料[円]
"8414","","","約定","市場執行済","-","03/11 09:17:16","本日中","2026/03/11","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","51,340.0","51,340.0","50,850.0","51,340","0"
"8413","","","約定","-","-","03/11 09:16:58","本日中","2026/03/11","ＮＦ日経レバ","1570 東証(SOR)","信用新規","買建","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","51,290.0","51,290.0","50,850.0","51,290","0"
"8412","","","約定","市場執行済","-","03/11 09:16:52","本日中","2026/03/11","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","51,290.0","51,290.0","50,850.0","51,290","0"
"8411","","","約定","-","-","03/11 09:16:46","本日中","2026/03/11","ＮＦ日経レバ","1570 東証(SOR)","信用新規","買建","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","51,270.0","51,270.0","50,850.0","51,270","0"
"8410","","","約定","市場執行済","-","03/11 09:16:40","本日中","2026/03/11","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","51,260.0","51,260.0","50,850.0","51,260","0"
"8409","","","約定","-","-","03/11 09:16:29","本日中","2026/03/11","ＮＦ日経レバ","1570 東証(SOR)","信用新規","買建","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","51,240.0","51,240.0","50,850.0","51,240","0"
"8408","","","約定","市場執行済","-","03/11 09:14:27","本日中","2026/03/11","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","51,110.0","51,180.0","50,850.0","51,180","0"
"8407","","","約定","-","-","03/11 09:14:11","本日中","2026/03/11","ＮＦ日経レバ","1570 東証(SOR)","信用新規","買建","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","51,250.0","51,250.0","50,850.0","51,250","0"
"8406","","","約定","市場執行済","-","03/11 09:13:56","本日中","2026/03/11","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","51,240.0","51,240.0","50,850.0","51,240","0"
"8405","","","約定","市場執行済","-","03/11 09:13:56","本日中","2026/03/11","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","51,240.0","51,240.0","50,850.0","51,240","0"
