注文番号,アルゴ注文番号,繰越区分,状況,状況(逆指値),セット注文,注文日時,執行条件,注文期限,銘柄,銘柄コード・市場,取引,売買,口座,注文方法,アルゴ注文情報,逆指値条件,セット注文条件,信用区分(弁済期限),注文数量[株/口],約定数量[株/口],注文金額[円],（ポイント利用）,注文単価[円],約定単価[円],現在値[円],約定代金[円],手数料[円]
"7236","","","約定","市場執行済","-","01/08 09:20:31","本日中","2026/01/08","ＮＦ日経レバ","1570 東証(SOR)","信用返済","買埋","特定","通常注文","-","-","-","制度(6ヶ月)","1","1","-","-","45,260.0","45,260.0","45,070.0","45,260","0"
"7235","","","約定","市場執行済","-","01/08 09:20:31","本日中","2026/01/08","ＮＦ日経レバ","1570 東証(SOR)","信用返済","買埋","特定","通常注文","-","-","-","制度(6ヶ月)","2","2","-","-","45,260.0","45,260.0","45,070.0","90,520","0"
"7234","","","約定","-","-","01/08 09:18:40","本日中","2026/01/08","ＮＦ日経レバ","1570 東証(SOR)","信用新規","売建","特定","通常注文","-","-","-","制度(6ヶ月)","2","2","-","-","45,250.0","45,250.0","45,070.0","90,500","0"
"7233","","","-","取消済","-","01/08 09:18:09","-","-","ＮＦ日経レバ","1570 東証(SOR)","信用返済","買埋","特定","逆指値注文","-","市場価格が45,410円以上なら成行で執行(本日中)","-","制度(6ヶ月)","1","0","-","-","-","-","45,070.0","0","0"
"7232","","","約定","-","-","01/08 09:18:00","本日中","2026/01/08","ＮＦ日経レバ","1570 東証(SOR)","信用新規","売建","特定","通常注文","-","-","-","制度(6ヶ月)","1","1","-","-","45,270.0","45,270.0","45,070.0","45,270","0"
"7231","","","約定","市場執行済","-","01/08 09:17:20","本日中","2026/01/08","ＮＦ日経レバ","1570 東証(SOR)","信用返済","買埋","特定","通常注文","-","-","-","制度(6ヶ月)","2","2","-","-","45,300.0","45,300.0","45,070.0","90,600","0"
"7230","","","約定","市場執行済","-","01/08 09:17:20","本日中","2026/01/08","ＮＦ日経レバ","1570 東証(SOR)","信用返済","買埋","特定","通常注文","-","-","-","制度(6ヶ月)","1","1","-","-","45,300.0","45,300.0","45,070.0","45,300","0"
"7229","","","約定","-","-","01/08 09:17:00","本日中","2026/01/08","ＮＦ日経レバ","1570 東証(SOR)","信用新規","売建","特定","通常注文","-","-","-","制度(6ヶ月)","2","2","-","-","45,310.0","45,310.0","45,070.0","90,620","0"
"7228","","","-","取消済","-","01/08 09:16:54","-","-","ＮＦ日経レバ","1570 東証(SOR)","信用返済","買埋","特定","逆指値注文","-","市場価格が45,470円以上なら成行で執行(本日中)","-","制度(6ヶ月)","1","0","-","-","-","-","45,070.0","0","0"
"7227","","","取消済（出来無）","-","-","01/08 09:16:49","本日中","2026/01/08","ＮＦ日経レバ","1570 東証(SOR)","信用新規","売建","特定","通常注文","-","-","-","制度(6ヶ月)","2","0","-","-","45,310.0","-","45,070.0","0","0"
"7226","","","-","取消済","-","01/08 09:16:40","-","-","ＮＦ日経レバ","1570 東証(SOR)","信用返済","買埋","特定","逆指値注文","-","市場価格が45,470円以上なら成行で執行(本日中)","-","制度(6ヶ月)","1","0","-","-","-","-","45,070.0","0","0"
"7225","","","約定","-","-","01/08 09:16:31","本日中","2026/01/08","ＮＦ日経レバ","1570 東証(SOR)","信用新規","売建","特定","通常注文","-","-","-","制度(6ヶ月)","1","1","-","-","45,330.0","45,330.0","45,070.0","45,330","0"
"7224","","","約定","市場執行済","-","01/08 09:16:06","本日中","2026/01/08","ＮＦ日経レバ","1570 東証(SOR)","信用返済","買埋","特定","通常注文","-","-","-","制度(6ヶ月)","1","1","-","-","45,330.0","45,330.0","45,070.0","45,330","0"
"7223","","","約定","市場執行済","-","01/08 09:16:06","本日中","2026/01/08","ＮＦ日経レバ","1570 東証(SOR)","信用返済","買埋","特定","通常注文","-","-","-","制度(6ヶ月)","2","2","-","-","45,330.0","45,330.0","45,070.0","90,660","0"
"7222","","","約定","-","-","01/08 09:15:49","本日中","2026/01/08","ＮＦ日経レバ","1570 東証(SOR)","信用新規","売建","特定","通常注文","-","-","-","制度(6ヶ月)","2","2","-","-","45,360.0","45,370.0","45,070.0","90,740","0"
