注文番号,アルゴ注文番号,繰越区分,状況,状況(逆指値),セット注文,注文日時,執行条件,注文期限,銘柄,銘柄コード・市場,取引,売買,口座,注文方法,アルゴ注文情報,逆指値条件,セット注文条件,信用区分(弁済期限),注文数量[株/口],約定数量[株/口],注文金額[円],（ポイント利用）,注文単価[円],約定単価[円],現在値[円],約定代金[円],手数料[円]
"7180","","","約定","-","-","01/06 09:28:20","本日中","2026/01/06","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","4","4","-","-","46,570.0","46,570.0","46,400.0","186,280","0"
"7179","","","取消済（出来無）","市場執行済","-","01/06 09:05:33","本日中","2026/01/06","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","1","0","-","-","46,760.0","-","46,400.0","0","0"
"7178","","","取消済（出来無）","市場執行済","-","01/06 09:05:32","本日中","2026/01/06","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","2","0","-","-","46,760.0","-","46,400.0","0","0"
"7177","","","取消済（出来無）","市場執行済","-","01/06 09:05:32","本日中","2026/01/06","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","1","0","-","-","46,760.0","-","46,400.0","0","0"
"7176","","","約定","-","-","01/06 09:05:05","本日中","2026/01/06","ＮＦ日経レバ","1570 東証(SOR)","信用新規","買建","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","46,730.0","46,730.0","46,400.0","46,730","0"
"7175","","","-","取消済","-","01/06 09:04:44","-","-","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","逆指値注文","-","市場価格が46,590円以下なら成行で執行(本日中)","-","一般(1日)","2","0","-","-","-","-","46,390.0","0","0"
"7174","","","-","取消済","-","01/06 09:04:44","-","-","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","逆指値注文","-","市場価格が46,550円以下なら成行で執行(本日中)","-","一般(1日)","1","0","-","-","-","-","46,390.0","0","0"
"7173","","","約定","-","-","01/06 09:04:42","本日中","2026/01/06","ＮＦ日経レバ","1570 東証(SOR)","信用新規","買建","特定","通常注文","-","-","-","一般(1日)","2","2","-","-","46,710.0","46,700.0","46,390.0","93,400","0"
"7172","","","-","取消済","-","01/06 09:04:36","-","-","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","逆指値注文","-","市場価格が46,550円以下なら成行で執行(本日中)","-","一般(1日)","1","0","-","-","-","-","46,390.0","0","0"
"7171","","","約定","-","-","01/06 09:04:33","本日中","2026/01/06","ＮＦ日経レバ","1570 東証(SOR)","信用新規","買建","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","46,670.0","46,670.0","46,390.0","46,670","0"
"7170","","","約定","市場執行済","-","01/06 09:03:47","本日中","2026/01/06","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","46,680.0","46,680.0","46,390.0","46,680","0"
"7169","","","約定","市場執行済","-","01/06 09:03:47","本日中","2026/01/06","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","46,680.0","46,680.0","46,390.0","46,680","0"
"7168","","","約定","市場執行済","-","01/06 09:03:47","本日中","2026/01/06","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","2","2","-","-","46,680.0","46,680.0","46,390.0","93,360","0"
"7167","","","約定","-","-","01/06 09:02:56","本日中","2026/01/06","ＮＦ日経レバ","1570 東証(SOR)","信用新規","買建","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","46,620.0","46,615.0","46,390.0","46,615","0"
"7166","","","-","取消済","-","01/06 09:02:52","-","-","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","逆指値注文","-","市場価格が46,490円以下なら成行で執行(本日中)","-","一般(1日)","2","0","-","-","-","-","46,390.0","0","0"
"7165","","","-","取消済","-","01/06 09:02:52","-","-","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","逆指値注文","-","市場価格が46,470円以下なら成行で執行(本日中)","-","一般(1日)","1","0","-","-","-","-","46,390.0","0","0"
"7164","","","約定","-","-","01/06 09:02:50","本日中","2026/01/06","ＮＦ日経レバ","1570 東証(SOR)","信用新規","買建","特定","通常注文","-","-","-","一般(1日)","2","2","-","-","46,610.0","46,605.0","46,390.0","93,210","0"
"7163","","","-","取消済","-","01/06 09:02:42","-","-","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","逆指値注文","-","市場価格が46,470円以下なら成行で執行(本日中)","-","一般(1日)","1","0","-","-","-","-","46,390.0","0","0"
"7162","","","約定","-","-","01/06 09:02:40","本日中","2026/01/06","ＮＦ日経レバ","1570 東証(SOR)","信用新規","買建","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","46,590.0","46,590.0","46,390.0","46,590","0"
"7161","","","約定","市場執行済","-","01/06 09:02:18","本日中","2026/01/06","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","46,550.0","46,560.0","46,390.0","46,560","0"
"7160","","","約定","市場執行済","-","01/06 09:02:18","本日中","2026/01/06","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","46,550.0","46,560.0","46,390.0","46,560","0"
"7159","","","約定","市場執行済","-","01/06 09:02:18","本日中","2026/01/06","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","2","2","-","-","46,550.0","46,560.0","46,390.0","93,120","0"
"7158","","","約定","-","-","01/06 09:02:07","本日中","2026/01/06","ＮＦ日経レバ","1570 東証(SOR)","信用新規","買建","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","46,530.0","46,530.0","46,390.0","46,530","0"
"7157","","","-","取消済","-","01/06 09:02:03","-","-","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","逆指値注文","-","市場価格が46,390円以下なら成行で執行(本日中)","-","一般(1日)","1","0","-","-","-","-","46,390.0","0","0"
"7156","","","-","取消済","-","01/06 09:02:03","-","-","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","逆指値注文","-","市場価格が46,200円以下なら成行で執行(本日中)","-","一般(1日)","2","0","-","-","-","-","46,390.0","0","0"
"7155","","","約定","-","-","01/06 09:02:00","本日中","2026/01/06","ＮＦ日経レバ","1570 東証(SOR)","信用新規","買建","特定","通常注文","-","-","-","一般(1日)","2","2","-","-","46,510.0","46,485.0","46,390.0","92,970","0"
"7154","","","-","取消済","-","01/06 09:01:00","-","-","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","逆指値注文","-","市場価格が46,200円以下なら成行で執行(本日中)","-","一般(1日)","1","0","-","-","-","-","46,390.0","0","0"
"7153","","","約定","-","-","01/06 09:00:52","本日中","2026/01/06","ＮＦ日経レバ","1570 東証(SOR)","信用新規","買建","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","46,500.0","46,490.0","46,390.0","46,490","0"
