注文番号,アルゴ注文番号,繰越区分,状況,状況(逆指値),セット注文,注文日時,執行条件,注文期限,銘柄,銘柄コード・市場,取引,売買,口座,注文方法,アルゴ注文情報,逆指値条件,セット注文条件,信用区分(弁済期限),注文数量[株/口],約定数量[株/口],注文金額[円],（ポイント利用）,注文単価[円],約定単価[円],現在値[円],約定代金[円],手数料[円]
"6779","","","約定","市場執行済","-","12/17 09:18:20","本日中","2025/12/17","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","41,350.0","41,350.0","41,320.0","41,350","0"
"6778","","","約定","-","-","12/17 09:18:10","本日中","2025/12/17","ＮＦ日経レバ","1570 東証(SOR)","信用新規","買建","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","41,410.0","41,405.0","41,320.0","41,405","0"
"6777","","","取消済（出来無）","-","-","12/17 09:17:48","本日中","2025/12/17","ＮＦ日経レバ","1570 東証(SOR)","信用新規","買建","特定","通常注文","-","-","-","一般(1日)","1","0","-","-","41,420.0","-","41,320.0","0","0"
"6776","","","約定","市場執行済","-","12/17 09:15:30","本日中","2025/12/17","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","2","2","-","-","41,470.0","41,480.0","41,320.0","82,960","0"
"6775","","","約定","市場執行済","-","12/17 09:15:30","本日中","2025/12/17","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","41,470.0","41,480.0","41,320.0","41,480","0"
"6774","","","約定","-","-","12/17 09:14:55","本日中","2025/12/17","ＮＦ日経レバ","1570 東証(SOR)","信用新規","買建","特定","通常注文","-","-","-","一般(1日)","2","2","-","-","41,440.0","41,435.0","41,320.0","82,870","0"
"6773","","","-","取消済","-","12/17 09:14:51","-","-","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","逆指値注文","-","市場価格が41,310円以下なら成行で執行(本日中)","-","一般(1日)","1","0","-","-","-","-","41,320.0","0","0"
"6772","","","約定","-","-","12/17 09:14:48","本日中","2025/12/17","ＮＦ日経レバ","1570 東証(SOR)","信用新規","買建","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","41,430.0","41,430.0","41,320.0","41,430","0"
"6771","","","約定","市場執行済","-","12/17 09:14:01","本日中","2025/12/17","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","2","2","-","-","41,360.0","41,360.0","41,320.0","82,720","0"
"6770","","","約定","市場執行済","-","12/17 09:14:01","本日中","2025/12/17","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","41,360.0","41,360.0","41,320.0","41,360","0"
"6769","","","約定","-","-","12/17 09:13:49","本日中","2025/12/17","ＮＦ日経レバ","1570 東証(SOR)","信用新規","買建","特定","通常注文","-","-","-","一般(1日)","2","2","-","-","41,360.0","41,360.0","41,320.0","82,720","0"
"6768","","","-","取消済","-","12/17 09:13:44","-","-","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","逆指値注文","-","市場価格が41,260円以下なら成行で執行(本日中)","-","一般(1日)","1","0","-","-","-","-","41,320.0","0","0"
"6767","","","約定","-","-","12/17 09:13:41","本日中","2025/12/17","ＮＦ日経レバ","1570 東証(SOR)","信用新規","買建","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","41,380.0","41,355.0","41,320.0","41,355","0"
"6766","","","約定","市場執行済","-","12/17 09:13:31","本日中","2025/12/17","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","2","2","-","-","41,350.0","41,350.0","41,320.0","82,700","0"
"6765","","","約定","市場執行済","-","12/17 09:13:31","本日中","2025/12/17","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","41,350.0","41,350.0","41,320.0","41,350","0"
"6764","","","約定","-","-","12/17 09:12:58","本日中","2025/12/17","ＮＦ日経レバ","1570 東証(SOR)","信用新規","買建","特定","通常注文","-","-","-","一般(1日)","2","2","-","-","41,470.0","41,470.0","41,320.0","82,940","0"
"6763","","","-","取消済","-","12/17 09:12:54","-","-","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","逆指値注文","-","市場価格が41,330円以下なら成行で執行(本日中)","-","一般(1日)","1","0","-","-","-","-","41,320.0","0","0"
"6762","","","約定","-","-","12/17 09:12:49","本日中","2025/12/17","ＮＦ日経レバ","1570 東証(SOR)","信用新規","買建","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","41,450.0","41,450.0","41,320.0","41,450","0"
"6761","","","約定","市場執行済","-","12/17 09:12:33","本日中","2025/12/17","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","41,440.0","41,440.0","41,320.0","41,440","0"
"6760","","","約定","-","-","12/17 09:12:04","本日中","2025/12/17","ＮＦ日経レバ","1570 東証(SOR)","信用新規","買建","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","41,450.0","41,440.0","41,320.0","41,440","0"
"6759","","","約定","市場執行済","-","12/17 09:11:02","本日中","2025/12/17","ＮＦ日経レバ","1570 東証(SOR)","信用返済","買埋","特定","通常注文","-","-","-","制度(6ヶ月)","1","1","-","-","41,390.0","41,380.0","41,320.0","41,380","0"
"6758","","","約定","-","-","12/17 09:10:42","本日中","2025/12/17","ＮＦ日経レバ","1570 東証(SOR)","信用新規","売建","特定","通常注文","-","-","-","制度(6ヶ月)","1","1","-","-","41,290.0","41,290.0","41,320.0","41,290","0"
"6757","","","約定","市場執行済","-","12/17 09:10:22","本日中","2025/12/17","ＮＦ日経レバ","1570 東証(SOR)","信用返済","買埋","特定","通常注文","-","-","-","制度(6ヶ月)","1","1","-","-","41,280.0","41,280.0","41,320.0","41,280","0"
"6756","","","約定","-","-","12/17 09:09:58","本日中","2025/12/17","ＮＦ日経レバ","1570 東証(SOR)","信用新規","売建","特定","通常注文","-","-","-","制度(6ヶ月)","1","1","-","-","41,260.0","41,260.0","41,320.0","41,260","0"
"6755","","","約定","市場執行済","-","12/17 09:09:23","本日中","2025/12/17","ＮＦ日経レバ","1570 東証(SOR)","信用返済","買埋","特定","通常注文","-","-","-","制度(6ヶ月)","1","1","-","-","41,250.0","41,250.0","41,320.0","41,250","0"
"6754","","","約定","-","-","12/17 09:09:17","本日中","2025/12/17","ＮＦ日経レバ","1570 東証(SOR)","信用新規","売建","特定","通常注文","-","-","-","制度(6ヶ月)","1","1","-","-","41,260.0","41,270.0","41,320.0","41,270","0"
"6753","","","約定","市場執行済","-","12/17 09:09:05","本日中","2025/12/17","ＮＦ日経レバ","1570 東証(SOR)","信用返済","買埋","特定","通常注文","-","-","-","制度(6ヶ月)","1","1","-","-","41,250.0","41,240.0","41,320.0","41,240","0"
"6752","","","約定","-","-","12/17 09:08:54","本日中","2025/12/17","ＮＦ日経レバ","1570 東証(SOR)","信用新規","売建","特定","通常注文","-","-","-","制度(6ヶ月)","1","1","-","-","41,270.0","41,290.0","41,320.0","41,290","0"
"6751","","","約定","市場執行済","-","12/17 09:08:24","本日中","2025/12/17","ＮＦ日経レバ","1570 東証(SOR)","信用返済","買埋","特定","通常注文","-","-","-","制度(6ヶ月)","1","1","-","-","41,130.0","41,130.0","41,320.0","41,130","0"
"6750","","","約定","市場執行済","-","12/17 09:08:24","本日中","2025/12/17","ＮＦ日経レバ","1570 東証(SOR)","信用返済","買埋","特定","通常注文","-","-","-","制度(6ヶ月)","2","2","-","-","41,130.0","41,130.0","41,320.0","82,260","0"
"6749","","","約定","-","-","12/17 09:08:07","本日中","2025/12/17","ＮＦ日経レバ","1570 東証(SOR)","信用新規","売建","特定","通常注文","-","-","-","制度(6ヶ月)","2","2","-","-","41,050.0","41,050.0","41,320.0","82,100","0"
"6748","","","-","取消済","-","12/17 09:08:01","-","-","ＮＦ日経レバ","1570 東証(SOR)","信用返済","買埋","特定","逆指値注文","-","市場価格が41,200円以上なら成行で執行(本日中)","-","制度(6ヶ月)","1","0","-","-","-","-","41,320.0","0","0"
"6747","","","約定","-","-","12/17 09:08:00","本日中","2025/12/17","ＮＦ日経レバ","1570 東証(SOR)","信用新規","売建","特定","通常注文","-","-","-","制度(6ヶ月)","1","1","-","-","41,080.0","41,080.0","41,320.0","41,080","0"
"6746","","","約定","市場執行済","-","12/17 09:06:38","本日中","2025/12/17","ＮＦ日経レバ","1570 東証(SOR)","信用返済","買埋","特定","通常注文","-","-","-","制度(6ヶ月)","1","1","-","-","41,030.0","41,030.0","41,320.0","41,030","0"
"6745","","","約定","市場執行済","-","12/17 09:06:37","本日中","2025/12/17","ＮＦ日経レバ","1570 東証(SOR)","信用返済","買埋","特定","通常注文","-","-","-","制度(6ヶ月)","1","1","-","-","41,030.0","41,030.0","41,320.0","41,030","0"
"6744","","","約定","市場執行済","-","12/17 09:06:37","本日中","2025/12/17","ＮＦ日経レバ","1570 東証(SOR)","信用返済","買埋","特定","通常注文","-","-","-","制度(6ヶ月)","2","2","-","-","41,030.0","41,030.0","41,320.0","82,060","0"
"6743","","","約定","-","-","12/17 09:06:20","本日中","2025/12/17","ＮＦ日経レバ","1570 東証(SOR)","信用新規","売建","特定","通常注文","-","-","-","制度(6ヶ月)","1","1","-","-","41,010.0","41,050.0","41,320.0","41,050","0"
"6742","","","-","取消済","-","12/17 09:06:16","-","-","ＮＦ日経レバ","1570 東証(SOR)","信用返済","買埋","特定","逆指値注文","-","市場価格が41,210円以上なら成行で執行(本日中)","-","制度(6ヶ月)","1","0","-","-","-","-","41,320.0","0","0"
