注文番号,アルゴ注文番号,繰越区分,状況,状況(逆指値),セット注文,注文日時,執行条件,注文期限,銘柄,銘柄コード・市場,取引,売買,口座,注文方法,アルゴ注文情報,逆指値条件,セット注文条件,信用区分(弁済期限),注文数量[株/口],約定数量[株/口],注文金額[円],（ポイント利用）,注文単価[円],約定単価[円],現在値[円],約定代金[円],手数料[円]
"7406","","","約定","市場執行済","-","01/16 09:09:21","本日中","2026/01/16","ＮＦ日経レバ","1570 東証(SOR)","信用返済","買埋","特定","通常注文","-","-","-","制度(6ヶ月)","1","1","-","-","49,200.0","49,190.0","49,290.0","49,190","0"
"7405","","","約定","市場執行済","-","01/16 09:09:21","本日中","2026/01/16","ＮＦ日経レバ","1570 東証(SOR)","信用返済","買埋","特定","通常注文","-","-","-","制度(6ヶ月)","2","2","-","-","49,200.0","49,190.0","49,290.0","98,380","0"
"7404","","","約定","-","-","01/16 09:09:04","本日中","2026/01/16","ＮＦ日経レバ","1570 東証(SOR)","信用新規","売建","特定","通常注文","-","-","-","制度(6ヶ月)","2","2","-","-","49,110.0","49,125.0","49,290.0","98,250","0"
"7403","","","-","取消済","-","01/16 09:08:58","-","-","ＮＦ日経レバ","1570 東証(SOR)","信用返済","買埋","特定","逆指値注文","-","市場価格が49,250円以上なら成行で執行(本日中)","-","制度(6ヶ月)","1","0","-","-","-","-","49,290.0","0","0"
"7402","","","約定","-","-","01/16 09:08:55","本日中","2026/01/16","ＮＦ日経レバ","1570 東証(SOR)","信用新規","売建","特定","通常注文","-","-","-","制度(6ヶ月)","1","1","-","-","49,130.0","49,130.0","49,290.0","49,130","0"
"7401","","","約定","市場執行済","-","01/16 09:08:39","本日中","2026/01/16","ＮＦ日経レバ","1570 東証(SOR)","信用返済","買埋","特定","通常注文","-","-","-","制度(6ヶ月)","1","1","-","-","49,140.0","49,140.0","49,290.0","49,140","0"
"7400","","","約定","-","-","01/16 09:08:19","本日中","2026/01/16","ＮＦ日経レバ","1570 東証(SOR)","信用新規","売建","特定","通常注文","-","-","-","制度(6ヶ月)","1","1","-","-","49,090.0","49,100.0","49,290.0","49,100","0"
"7399","","","約定","市場執行済","-","01/16 09:08:03","本日中","2026/01/16","ＮＦ日経レバ","1570 東証(SOR)","信用返済","買埋","特定","通常注文","-","-","-","制度(6ヶ月)","2","2","-","-","49,160.0","49,160.0","49,290.0","98,320","0"
"7398","","","約定","市場執行済","-","01/16 09:08:03","本日中","2026/01/16","ＮＦ日経レバ","1570 東証(SOR)","信用返済","買埋","特定","通常注文","-","-","-","制度(6ヶ月)","1","1","-","-","49,160.0","49,160.0","49,290.0","49,160","0"
"7397","","","約定","市場執行済","-","01/16 09:08:03","本日中","2026/01/16","ＮＦ日経レバ","1570 東証(SOR)","信用返済","買埋","特定","通常注文","-","-","-","制度(6ヶ月)","1","1","-","-","49,160.0","49,160.0","49,290.0","49,160","0"
