注文番号,アルゴ注文番号,繰越区分,状況,状況(逆指値),セット注文,注文日時,執行条件,注文期限,銘柄,銘柄コード・市場,取引,売買,口座,注文方法,アルゴ注文情報,逆指値条件,セット注文条件,信用区分(弁済期限),注文数量[株/口],約定数量[株/口],注文金額[円],（ポイント利用）,注文単価[円],約定単価[円],現在値[円],約定代金[円],手数料[円]
"8134","","","約定","市場執行済","-","03/04 09:22:41","本日中","2026/03/04","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","51,990.0","51,990.0","50,420.0","51,990","0"
"8133","","","取消済（出来無）","市場執行済","-","03/04 09:22:21","本日中","2026/03/04","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","1","0","-","-","52,040.0","-","50,420.0","0","0"
"8132","","","取消済（出来無）","市場執行済","-","03/04 09:21:42","本日中","2026/03/04","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","1","0","-","-","52,070.0","-","50,420.0","0","0"
"8131","","","約定","市場執行済","-","03/04 09:21:42","本日中","2026/03/04","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","51,980.0","51,980.0","50,420.0","51,980","0"
"8130","","","約定","-","-","03/04 09:21:15","本日中","2026/03/04","ＮＦ日経レバ","1570 東証(SOR)","信用新規","買建","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","52,060.0","52,050.0","50,420.0","52,050","0"
"8129","","","-","取消済","-","03/04 09:20:57","-","-","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","逆指値注文","-","市場価格が51,830円以下なら成行で執行(本日中)","-","一般(1日)","1","0","-","-","-","-","50,420.0","0","0"
"8128","","","約定","-","-","03/04 09:20:54","本日中","2026/03/04","ＮＦ日経レバ","1570 東証(SOR)","信用新規","買建","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","52,010.0","52,010.0","50,420.0","52,010","0"
"8127","","","約定","市場執行済","-","03/04 09:20:47","本日中","2026/03/04","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","51,970.0","51,980.0","50,420.0","51,980","0"
"8126","","","約定","市場執行済","-","03/04 09:20:47","本日中","2026/03/04","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","51,970.0","51,970.0","50,420.0","51,970","0"
"8125","","","約定","-","-","03/04 09:20:33","本日中","2026/03/04","ＮＦ日経レバ","1570 東証(SOR)","信用新規","買建","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","51,940.0","51,940.0","50,420.0","51,940","0"
"8124","","","-","取消済","-","03/04 09:20:27","-","-","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","逆指値注文","-","市場価格が51,730円以下なら成行で執行(本日中)","-","一般(1日)","1","0","-","-","-","-","50,420.0","0","0"
"8123","","","約定","-","-","03/04 09:20:23","本日中","2026/03/04","ＮＦ日経レバ","1570 東証(SOR)","信用新規","買建","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","51,920.0","51,910.0","50,420.0","51,910","0"
"8122","","","約定","市場執行済","-","03/04 09:20:13","本日中","2026/03/04","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","51,860.0","51,860.0","50,420.0","51,860","0"
"8121","","","約定","市場執行済","-","03/04 09:20:13","本日中","2026/03/04","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","51,860.0","51,860.0","50,420.0","51,860","0"
"8120","","","約定","-","-","03/04 09:19:58","本日中","2026/03/04","ＮＦ日経レバ","1570 東証(SOR)","信用新規","買建","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","51,820.0","51,790.0","50,420.0","51,790","0"
"8119","","","-","取消済","-","03/04 09:19:54","-","-","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","逆指値注文","-","市場価格が51,610円以下なら成行で執行(本日中)","-","一般(1日)","1","0","-","-","-","-","50,420.0","0","0"
"8118","","","約定","-","-","03/04 09:19:37","本日中","2026/03/04","ＮＦ日経レバ","1570 東証(SOR)","信用新規","買建","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","51,810.0","51,790.0","50,420.0","51,790","0"
"8117","","","約定","市場執行済","-","03/04 09:19:25","本日中","2026/03/04","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","51,740.0","51,740.0","50,420.0","51,740","0"
"8116","","","約定","市場執行済","-","03/04 09:19:25","本日中","2026/03/04","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","51,740.0","51,740.0","50,420.0","51,740","0"
"8115","","","約定","-","-","03/04 09:19:05","本日中","2026/03/04","ＮＦ日経レバ","1570 東証(SOR)","信用新規","買建","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","51,690.0","51,690.0","50,420.0","51,690","0"
"8114","","","-","取消済","-","03/04 09:19:03","-","-","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","逆指値注文","-","市場価格が51,340円以下なら成行で執行(本日中)","-","一般(1日)","1","0","-","-","-","-","50,420.0","0","0"
"8113","","","約定","-","-","03/04 09:18:52","本日中","2026/03/04","ＮＦ日経レバ","1570 東証(SOR)","信用新規","買建","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","51,580.0","51,520.0","50,420.0","51,520","0"
"8112","","","約定","市場執行済","-","03/04 09:18:36","本日中","2026/03/04","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","51,450.0","51,450.0","50,420.0","51,450","0"
"8111","","","約定","-","-","03/04 09:18:22","本日中","2026/03/04","ＮＦ日経レバ","1570 東証(SOR)","信用新規","買建","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","51,340.0","51,340.0","50,420.0","51,340","0"
"8110","","","約定","市場執行済","-","03/04 09:18:12","本日中","2026/03/04","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","51,290.0","51,290.0","50,420.0","51,290","0"
"8109","","","約定","市場執行済","-","03/04 09:18:12","本日中","2026/03/04","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","51,290.0","51,300.0","50,420.0","51,300","0"
"8108","","","約定","-","-","03/04 09:17:52","本日中","2026/03/04","ＮＦ日経レバ","1570 東証(SOR)","信用新規","買建","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","51,300.0","51,250.0","50,420.0","51,250","0"
"8107","","","-","取消済","-","03/04 09:17:49","-","-","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","逆指値注文","-","市場価格が51,070円以下なら成行で執行(本日中)","-","一般(1日)","1","0","-","-","-","-","50,420.0","0","0"
"8106","","","約定","-","-","03/04 09:17:40","本日中","2026/03/04","ＮＦ日経レバ","1570 東証(SOR)","信用新規","買建","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","51,190.0","51,180.0","50,420.0","51,180","0"
