注文番号,アルゴ注文番号,繰越区分,状況,状況(逆指値),セット注文,注文日時,執行条件,注文期限,銘柄,銘柄コード・市場,取引,売買,口座,注文方法,アルゴ注文情報,逆指値条件,セット注文条件,信用区分(弁済期限),注文数量[株/口],約定数量[株/口],注文金額[円],（ポイント利用）,注文単価[円],約定単価[円],現在値[円],約定代金[円],手数料[円]
"7515","","","約定","市場執行済","-","01/21 09:28:48","本日中","2026/01/21","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","46,590.0","46,590.0","46,560.0","46,590","0"
"7514","","","約定","市場執行済","-","01/21 09:28:48","本日中","2026/01/21","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","2","2","-","-","46,590.0","46,590.0","46,560.0","93,180","0"
"7513","","","約定","市場執行済","-","01/21 09:28:48","本日中","2026/01/21","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","46,590.0","46,590.0","46,560.0","46,590","0"
"7512","","","約定","-","-","01/21 09:26:01","本日中","2026/01/21","ＮＦ日経レバ","1570 東証(SOR)","信用新規","買建","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","46,610.0","46,590.0","46,560.0","46,590","0"
"7511","","","-","取消済","-","01/21 09:25:26","-","-","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","逆指値注文","-","市場価格が46,400円以下なら成行で執行(本日中)","-","一般(1日)","1","0","-","-","-","-","46,560.0","0","0"
"7510","","","-","取消済","-","01/21 09:25:23","-","-","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","逆指値注文","-","市場価格が46,440円以下なら成行で執行(本日中)","-","一般(1日)","2","0","-","-","-","-","46,560.0","0","0"
"7509","","","-","取消済","-","01/21 09:25:20","-","-","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","逆指値注文","-","市場価格が46,400円以下なら成行で執行(本日中)","-","一般(1日)","1","0","-","-","-","-","46,560.0","0","0"
"7508","","","約定","-","-","01/21 09:25:18","本日中","2026/01/21","ＮＦ日経レバ","1570 東証(SOR)","信用新規","買建","特定","通常注文","-","-","-","一般(1日)","2","2","-","-","46,580.0","46,580.0","46,560.0","93,160","0"
"7507","","","約定","-","-","01/21 09:25:10","本日中","2026/01/21","ＮＦ日経レバ","1570 東証(SOR)","信用新規","買建","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","46,540.0","46,540.0","46,560.0","46,540","0"
"7506","","","取消済（出来無）","-","-","01/21 09:24:17","本日中","2026/01/21","ＮＦ日経レバ","1570 東証(SOR)","信用新規","買建","特定","通常注文","-","-","-","一般(1日)","1","0","-","-","46,380.0","-","46,560.0","0","0"
"7505","","","約定","-","-","01/21 09:24:04","本日中","2026/01/21","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","5","5","-","-","46,510.0","46,510.0","46,560.0","232,550","0"
"7504","","","約定","-","-","01/21 09:10:31","本日中","2026/01/21","ＮＦ日経レバ","1570 東証(SOR)","信用新規","買建","特定","通常注文","-","-","-","一般(1日)","5","5","-","-","46,530.0","46,470.0","46,560.0","232,350","0"
