注文番号,アルゴ注文番号,繰越区分,状況,状況(逆指値),セット注文,注文日時,執行条件,注文期限,銘柄,銘柄コード・市場,取引,売買,口座,注文方法,アルゴ注文情報,逆指値条件,セット注文条件,信用区分(弁済期限),注文数量[株/口],約定数量[株/口],注文金額[円],（ポイント利用）,注文単価[円],約定単価[円],現在値[円],約定代金[円],手数料[円]
"7928","","","約定","市場執行済","-","02/20 09:23:54","本日中","2026/02/20","ＮＦ日経レバ","1570 東証(SOR)","信用返済","買埋","特定","通常注文","-","-","-","制度(6ヶ月)","1","1","-","-","54,230.0","54,230.0","54,230.0","54,230","0"
"7927","","","取消済（出来無）","市場執行済","-","02/20 09:21:37","本日中","2026/02/20","ＮＦ日経レバ","1570 東証(SOR)","信用返済","買埋","特定","通常注文","-","-","-","制度(6ヶ月)","1","0","-","-","54,160.0","-","54,230.0","0","0"
"7926","","","約定","市場執行済","-","02/20 09:21:37","本日中","2026/02/20","ＮＦ日経レバ","1570 東証(SOR)","信用返済","買埋","特定","通常注文","-","-","-","制度(6ヶ月)","1","1","-","-","54,220.0","54,220.0","54,230.0","54,220","0"
"7925","","","約定","-","-","02/20 09:21:27","本日中","2026/02/20","ＮＦ日経レバ","1570 東証(SOR)","信用新規","売建","特定","通常注文","-","-","-","制度(6ヶ月)","1","1","-","-","54,140.0","54,140.0","54,230.0","54,140","0"
"7924","","","-","取消済","-","02/20 09:21:19","-","-","ＮＦ日経レバ","1570 東証(SOR)","信用返済","買埋","特定","逆指値注文","-","市場価格が54,320円以上なら成行で執行(本日中)","-","制度(6ヶ月)","1","0","-","-","-","-","54,230.0","0","0"
"7923","","","約定","-","-","02/20 09:21:12","本日中","2026/02/20","ＮＦ日経レバ","1570 東証(SOR)","信用新規","売建","特定","通常注文","-","-","-","制度(6ヶ月)","1","1","-","-","54,180.0","54,180.0","54,230.0","54,180","0"
"7922","","","約定","市場執行済","-","02/20 09:21:05","本日中","2026/02/20","ＮＦ日経レバ","1570 東証(SOR)","信用返済","買埋","特定","通常注文","-","-","-","制度(6ヶ月)","1","1","-","-","54,210.0","54,210.0","54,230.0","54,210","0"
"7921","","","約定","-","-","02/20 09:20:41","本日中","2026/02/20","ＮＦ日経レバ","1570 東証(SOR)","信用新規","売建","特定","通常注文","-","-","-","制度(6ヶ月)","1","1","-","-","54,190.0","54,190.0","54,230.0","54,190","0"
"7920","","","約定","市場執行済","-","02/20 09:16:24","本日中","2026/02/20","ＮＦ日経レバ","1570 東証(SOR)","信用返済","買埋","特定","通常注文","-","-","-","制度(6ヶ月)","1","1","-","-","54,320.0","54,320.0","54,230.0","54,320","0"
"7919","","","約定","市場執行済","-","02/20 09:16:24","本日中","2026/02/20","ＮＦ日経レバ","1570 東証(SOR)","信用返済","買埋","特定","通常注文","-","-","-","制度(6ヶ月)","1","1","-","-","54,320.0","54,320.0","54,230.0","54,320","0"
"7918","","","約定","-","-","02/20 09:15:18","本日中","2026/02/20","ＮＦ日経レバ","1570 東証(SOR)","信用新規","売建","特定","通常注文","-","-","-","制度(6ヶ月)","1","1","-","-","54,230.0","54,230.0","54,230.0","54,230","0"
"7917","","","-","取消済","-","02/20 09:15:14","-","-","ＮＦ日経レバ","1570 東証(SOR)","信用返済","買埋","特定","逆指値注文","-","市場価格が54,390円以上なら成行で執行(本日中)","-","制度(6ヶ月)","1","0","-","-","-","-","54,230.0","0","0"
"7916","","","約定","-","-","02/20 09:15:10","本日中","2026/02/20","ＮＦ日経レバ","1570 東証(SOR)","信用新規","売建","特定","通常注文","-","-","-","制度(6ヶ月)","1","1","-","-","54,240.0","54,250.0","54,230.0","54,250","0"
