注文番号,アルゴ注文番号,繰越区分,状況,状況(逆指値),セット注文,注文日時,執行条件,注文期限,銘柄,銘柄コード・市場,取引,売買,口座,注文方法,アルゴ注文情報,逆指値条件,セット注文条件,信用区分(弁済期限),注文数量[株/口],約定数量[株/口],注文金額[円],（ポイント利用）,注文単価[円],約定単価[円],現在値[円],約定代金[円],手数料[円]
"7206","","","約定","市場執行済","-","01/07 09:11:01","本日中","2026/01/07","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","46,460.0","46,460.0","46,540.0","46,460","0"
"7205","","","約定","-","-","01/07 09:10:04","本日中","2026/01/07","ＮＦ日経レバ","1570 東証(SOR)","信用新規","買建","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","46,510.0","46,510.0","46,540.0","46,510","0"
"7204","","","約定","市場執行済","-","01/07 09:09:41","本日中","2026/01/07","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","46,480.0","46,480.0","46,540.0","46,480","0"
"7203","","","約定","-","-","01/07 09:09:21","本日中","2026/01/07","ＮＦ日経レバ","1570 東証(SOR)","信用新規","買建","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","46,480.0","46,470.0","46,540.0","46,470","0"
"7202","","","約定","市場執行済","-","01/07 09:08:59","本日中","2026/01/07","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","46,430.0","46,430.0","46,540.0","46,430","0"
"7201","","","約定","-","-","01/07 09:08:40","本日中","2026/01/07","ＮＦ日経レバ","1570 東証(SOR)","信用新規","買建","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","46,440.0","46,435.0","46,540.0","46,435","0"
"7200","","","約定","市場執行済","-","01/07 09:07:54","本日中","2026/01/07","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","46,470.0","46,490.0","46,540.0","46,490","0"
"7199","","","約定","-","-","01/07 09:07:36","本日中","2026/01/07","ＮＦ日経レバ","1570 東証(SOR)","信用新規","買建","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","46,440.0","46,440.0","46,540.0","46,440","0"
"7198","","","約定","市場執行済","-","01/07 09:07:11","本日中","2026/01/07","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","46,440.0","46,440.0","46,540.0","46,440","0"
"7197","","","約定","市場執行済","-","01/07 09:07:11","本日中","2026/01/07","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","2","2","-","-","46,440.0","46,440.0","46,540.0","92,880","0"
"7196","","","約定","市場執行済","-","01/07 09:07:11","本日中","2026/01/07","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","46,440.0","46,440.0","46,540.0","46,440","0"
"7195","","","約定","-","-","01/07 09:05:40","本日中","2026/01/07","ＮＦ日経レバ","1570 東証(SOR)","信用新規","買建","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","46,420.0","46,395.0","46,540.0","46,395","0"
"7194","","","-","取消済","-","01/07 09:05:22","-","-","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","逆指値注文","-","市場価格が46,270円以下なら成行で執行(本日中)","-","一般(1日)","1","0","-","-","-","-","46,540.0","0","0"
"7193","","","-","取消済","-","01/07 09:05:22","-","-","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","逆指値注文","-","市場価格が46,250円以下なら成行で執行(本日中)","-","一般(1日)","2","0","-","-","-","-","46,540.0","0","0"
"7192","","","約定","-","-","01/07 09:05:20","本日中","2026/01/07","ＮＦ日経レバ","1570 東証(SOR)","信用新規","買建","特定","通常注文","-","-","-","一般(1日)","2","2","-","-","46,410.0","46,370.0","46,540.0","92,740","0"
"7191","","","-","取消済","-","01/07 09:05:05","-","-","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","逆指値注文","-","市場価格が46,250円以下なら成行で執行(本日中)","-","一般(1日)","1","0","-","-","-","-","46,540.0","0","0"
"7190","","","約定","-","-","01/07 09:05:02","本日中","2026/01/07","ＮＦ日経レバ","1570 東証(SOR)","信用新規","買建","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","46,390.0","46,390.0","46,540.0","46,390","0"
"7189","","","約定","市場執行済","-","01/07 09:04:33","本日中","2026/01/07","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","46,370.0","46,370.0","46,540.0","46,370","0"
"7188","","","約定","市場執行済","-","01/07 09:04:33","本日中","2026/01/07","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","46,370.0","46,370.0","46,540.0","46,370","0"
"7187","","","約定","市場執行済","-","01/07 09:04:33","本日中","2026/01/07","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","2","2","-","-","46,370.0","46,370.0","46,540.0","92,740","0"
"7186","","","約定","-","-","01/07 09:04:05","本日中","2026/01/07","ＮＦ日経レバ","1570 東証(SOR)","信用新規","買建","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","46,360.0","46,345.0","46,540.0","46,345","0"
"7185","","","-","取消済","-","01/07 09:03:05","-","-","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","逆指値注文","-","市場価格が46,190円以下なら成行で執行(本日中)","-","一般(1日)","2","0","-","-","-","-","46,540.0","0","0"
"7184","","","-","取消済","-","01/07 09:03:04","-","-","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","逆指値注文","-","市場価格が46,190円以下なら成行で執行(本日中)","-","一般(1日)","1","0","-","-","-","-","46,540.0","0","0"
"7183","","","約定","-","-","01/07 09:03:03","本日中","2026/01/07","ＮＦ日経レバ","1570 東証(SOR)","信用新規","買建","特定","通常注文","-","-","-","一般(1日)","2","2","-","-","46,330.0","46,300.0","46,540.0","92,600","0"
"7182","","","-","取消済","-","01/07 09:02:53","-","-","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","逆指値注文","-","市場価格が46,190円以下なら成行で執行(本日中)","-","一般(1日)","1","0","-","-","-","-","46,540.0","0","0"
"7181","","","約定","-","-","01/07 09:02:51","本日中","2026/01/07","ＮＦ日経レバ","1570 東証(SOR)","信用新規","買建","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","46,330.0","46,320.0","46,540.0","46,320","0"
