注文番号,アルゴ注文番号,繰越区分,状況,状況(逆指値),セット注文,注文日時,執行条件,注文期限,銘柄,銘柄コード・市場,取引,売買,口座,注文方法,アルゴ注文情報,逆指値条件,セット注文条件,信用区分(弁済期限),注文数量[株/口],約定数量[株/口],注文金額[円],（ポイント利用）,注文単価[円],約定単価[円],現在値[円],約定代金[円],手数料[円]
"6716","","","約定","市場執行済","-","12/16 09:21:17","本日中","2025/12/16","ＮＦ日経レバ","1570 東証(SOR)","信用返済","買埋","特定","通常注文","-","-","-","制度(6ヶ月)","1","1","-","-","41,850.0","41,830.0","41,970.0","41,830","0"
"6715","","","約定","-","-","12/16 09:20:41","本日中","2025/12/16","ＮＦ日経レバ","1570 東証(SOR)","信用新規","売建","特定","通常注文","-","-","-","制度(6ヶ月)","1","1","-","-","41,810.0","41,810.0","41,970.0","41,810","0"
"6714","","","約定","市場執行済","-","12/16 09:19:25","本日中","2025/12/16","ＮＦ日経レバ","1570 東証(SOR)","信用返済","買埋","特定","通常注文","-","-","-","制度(6ヶ月)","1","1","-","-","41,720.0","41,720.0","41,970.0","41,720","0"
"6713","","","約定","市場執行済","-","12/16 09:19:25","本日中","2025/12/16","ＮＦ日経レバ","1570 東証(SOR)","信用返済","買埋","特定","通常注文","-","-","-","制度(6ヶ月)","1","1","-","-","41,720.0","41,720.0","41,970.0","41,720","0"
"6712","","","約定","市場執行済","-","12/16 09:19:25","本日中","2025/12/16","ＮＦ日経レバ","1570 東証(SOR)","信用返済","買埋","特定","通常注文","-","-","-","制度(6ヶ月)","2","2","-","-","41,720.0","41,720.0","41,970.0","83,440","0"
"6711","","","約定","-","-","12/16 09:19:01","本日中","2025/12/16","ＮＦ日経レバ","1570 東証(SOR)","信用新規","売建","特定","通常注文","-","-","-","制度(6ヶ月)","1","1","-","-","41,710.0","41,720.0","41,970.0","41,720","0"
"6710","","","-","取消済","-","12/16 09:18:42","-","-","ＮＦ日経レバ","1570 東証(SOR)","信用返済","買埋","特定","逆指値注文","-","市場価格が41,910円以上なら成行で執行(本日中)","-","制度(6ヶ月)","1","0","-","-","-","-","41,970.0","0","0"
"6709","","","-","取消済","-","12/16 09:18:42","-","-","ＮＦ日経レバ","1570 東証(SOR)","信用返済","買埋","特定","逆指値注文","-","市場価格が41,900円以上なら成行で執行(本日中)","-","制度(6ヶ月)","2","0","-","-","-","-","41,970.0","0","0"
"6708","","","約定","-","-","12/16 09:18:40","本日中","2025/12/16","ＮＦ日経レバ","1570 東証(SOR)","信用新規","売建","特定","通常注文","-","-","-","制度(6ヶ月)","2","2","-","-","41,780.0","41,780.0","41,970.0","83,560","0"
"6707","","","-","取消済","-","12/16 09:18:20","-","-","ＮＦ日経レバ","1570 東証(SOR)","信用返済","買埋","特定","逆指値注文","-","市場価格が41,910円以上なら成行で執行(本日中)","-","制度(6ヶ月)","1","0","-","-","-","-","41,970.0","0","0"
"6706","","","約定","-","-","12/16 09:18:17","本日中","2025/12/16","ＮＦ日経レバ","1570 東証(SOR)","信用新規","売建","特定","通常注文","-","-","-","制度(6ヶ月)","1","1","-","-","41,790.0","41,790.0","41,970.0","41,790","0"
"6705","","","約定","市場執行済","-","12/16 09:17:55","本日中","2025/12/16","ＮＦ日経レバ","1570 東証(SOR)","信用返済","買埋","特定","通常注文","-","-","-","制度(6ヶ月)","1","1","-","-","41,760.0","41,760.0","41,970.0","41,760","0"
"6704","","","約定","-","-","12/16 09:17:37","本日中","2025/12/16","ＮＦ日経レバ","1570 東証(SOR)","信用新規","売建","特定","通常注文","-","-","-","制度(6ヶ月)","1","1","-","-","41,710.0","41,710.0","41,970.0","41,710","0"
"6703","","","約定","市場執行済","-","12/16 09:17:12","本日中","2025/12/16","ＮＦ日経レバ","1570 東証(SOR)","信用返済","買埋","特定","通常注文","-","-","-","制度(6ヶ月)","1","1","-","-","41,680.0","41,680.0","41,970.0","41,680","0"
"6702","","","約定","市場執行済","-","12/16 09:17:12","本日中","2025/12/16","ＮＦ日経レバ","1570 東証(SOR)","信用返済","買埋","特定","通常注文","-","-","-","制度(6ヶ月)","2","2","-","-","41,680.0","41,680.0","41,970.0","83,360","0"
"6701","","","約定","市場執行済","-","12/16 09:17:12","本日中","2025/12/16","ＮＦ日経レバ","1570 東証(SOR)","信用返済","買埋","特定","通常注文","-","-","-","制度(6ヶ月)","1","1","-","-","41,680.0","41,680.0","41,970.0","41,680","0"
"6700","","","約定","-","-","12/16 09:16:56","本日中","2025/12/16","ＮＦ日経レバ","1570 東証(SOR)","信用新規","売建","特定","通常注文","-","-","-","制度(6ヶ月)","1","1","-","-","41,690.0","41,690.0","41,970.0","41,690","0"
"6699","","","-","取消済","-","12/16 09:16:04","-","-","ＮＦ日経レバ","1570 東証(SOR)","信用返済","買埋","特定","逆指値注文","-","市場価格が41,850円以上なら成行で執行(本日中)","-","制度(6ヶ月)","1","0","-","-","-","-","41,970.0","0","0"
"6698","","","-","取消済","-","12/16 09:16:04","-","-","ＮＦ日経レバ","1570 東証(SOR)","信用返済","買埋","特定","逆指値注文","-","市場価格が41,830円以上なら成行で執行(本日中)","-","制度(6ヶ月)","2","0","-","-","-","-","41,970.0","0","0"
"6697","","","約定","-","-","12/16 09:16:02","本日中","2025/12/16","ＮＦ日経レバ","1570 東証(SOR)","信用新規","売建","特定","通常注文","-","-","-","制度(6ヶ月)","2","2","-","-","41,710.0","41,710.0","41,970.0","83,420","0"
