注文番号,アルゴ注文番号,繰越区分,状況,状況(逆指値),セット注文,注文日時,執行条件,注文期限,銘柄,銘柄コード・市場,取引,売買,口座,注文方法,アルゴ注文情報,逆指値条件,セット注文条件,信用区分(弁済期限),注文数量[株/口],約定数量[株/口],注文金額[円],（ポイント利用）,注文単価[円],約定単価[円],現在値[円],約定代金[円],手数料[円]
"6969","","","約定","市場執行済","-","12/22 09:22:37","本日中","2025/12/22","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","42,930.0","42,930.0","42,920.0","42,930","0"
"6968","","","約定","-","-","12/22 09:22:21","本日中","2025/12/22","ＮＦ日経レバ","1570 東証(SOR)","信用新規","買建","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","42,920.0","42,920.0","42,920.0","42,920","0"
"6967","","","約定","市場執行済","-","12/22 09:21:39","本日中","2025/12/22","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","42,960.0","42,960.0","42,920.0","42,960","0"
"6966","","","約定","-","-","12/22 09:20:55","本日中","2025/12/22","ＮＦ日経レバ","1570 東証(SOR)","信用新規","買建","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","42,940.0","42,940.0","42,920.0","42,940","0"
"6965","","","約定","市場執行済","-","12/22 09:20:15","本日中","2025/12/22","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","42,980.0","42,985.0","42,920.0","42,985","0"
"6964","","","約定","-","-","12/22 09:19:55","本日中","2025/12/22","ＮＦ日経レバ","1570 東証(SOR)","信用新規","買建","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","43,020.0","43,015.0","42,920.0","43,015","0"
"6963","","","約定","市場執行済","-","12/22 09:19:29","本日中","2025/12/22","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","42,980.0","42,990.0","42,920.0","42,990","0"
"6962","","","約定","-","-","12/22 09:19:14","本日中","2025/12/22","ＮＦ日経レバ","1570 東証(SOR)","信用新規","買建","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","43,050.0","43,050.0","42,920.0","43,050","0"
"6961","","","約定","市場執行済","-","12/22 09:18:47","本日中","2025/12/22","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","43,070.0","43,070.0","42,920.0","43,070","0"
"6960","","","約定","-","-","12/22 09:18:05","本日中","2025/12/22","ＮＦ日経レバ","1570 東証(SOR)","信用新規","買建","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","43,120.0","43,120.0","42,920.0","43,120","0"
"6959","","","約定","市場執行済","-","12/22 09:17:54","本日中","2025/12/22","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","2","2","-","-","43,120.0","43,120.0","42,920.0","86,240","0"
"6958","","","約定","市場執行済","-","12/22 09:17:53","本日中","2025/12/22","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","43,120.0","43,120.0","42,920.0","43,120","0"
"6957","","","約定","-","-","12/22 09:17:35","本日中","2025/12/22","ＮＦ日経レバ","1570 東証(SOR)","信用新規","買建","特定","通常注文","-","-","-","一般(1日)","2","2","-","-","43,090.0","43,090.0","42,920.0","86,180","0"
"6956","","","-","取消済","-","12/22 09:17:31","-","-","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","逆指値注文","-","市場価格が42,960円以下なら成行で執行(本日中)","-","一般(1日)","1","0","-","-","-","-","42,920.0","0","0"
"6955","","","約定","-","-","12/22 09:17:29","本日中","2025/12/22","ＮＦ日経レバ","1570 東証(SOR)","信用新規","買建","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","43,080.0","43,075.0","42,920.0","43,075","0"
