注文番号,アルゴ注文番号,繰越区分,状況,状況(逆指値),セット注文,注文日時,執行条件,注文期限,銘柄,銘柄コード・市場,取引,売買,口座,注文方法,アルゴ注文情報,逆指値条件,セット注文条件,信用区分(弁済期限),注文数量[株/口],約定数量[株/口],注文金額[円],（ポイント利用）,注文単価[円],約定単価[円],現在値[円],約定代金[円],手数料[円]
"7561","","","約定","市場執行済","-","01/23 09:29:32","本日中","2026/01/23","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","2","2","-","-","48,840.0","48,840.0","48,820.0","97,680","0"
"7560","","","約定","市場執行済","-","01/23 09:29:32","本日中","2026/01/23","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","48,840.0","48,840.0","48,820.0","48,840","0"
"7559","","","約定","-","-","01/23 09:26:55","本日中","2026/01/23","ＮＦ日経レバ","1570 東証(SOR)","信用新規","買建","特定","通常注文","-","-","-","一般(1日)","2","2","-","-","48,850.0","48,830.0","48,820.0","97,660","0"
"7558","","","-","取消済","-","01/23 09:26:41","-","-","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","逆指値注文","-","市場価格が48,630円以下なら成行で執行(本日中)","-","一般(1日)","1","0","-","-","-","-","48,820.0","0","0"
"7557","","","約定","-","-","01/23 09:26:29","本日中","2026/01/23","ＮＦ日経レバ","1570 東証(SOR)","信用新規","買建","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","48,830.0","48,830.0","48,820.0","48,830","0"
"7556","","","約定","市場執行済","-","01/23 09:26:22","本日中","2026/01/23","ＮＦ日経レバ","1570 東証(SOR)","信用返済","買埋","特定","通常注文","-","-","-","制度(6ヶ月)","1","1","-","-","48,860.0","48,810.0","48,820.0","48,810","0"
"7555","","","約定","市場執行済","-","01/23 09:26:22","本日中","2026/01/23","ＮＦ日経レバ","1570 東証(SOR)","信用返済","買埋","特定","通常注文","-","-","-","制度(6ヶ月)","2","2","-","-","48,860.0","48,810.0","48,820.0","97,620","0"
"7554","","","約定","-","-","01/23 09:21:51","本日中","2026/01/23","ＮＦ日経レバ","1570 東証(SOR)","信用新規","売建","特定","通常注文","-","-","-","制度(6ヶ月)","2","2","-","-","48,690.0","48,695.0","48,820.0","97,390","0"
"7553","","","-","取消済","-","01/23 09:21:02","-","-","ＮＦ日経レバ","1570 東証(SOR)","信用返済","買埋","特定","逆指値注文","-","市場価格が48,890円以上なら成行で執行(本日中)","-","制度(6ヶ月)","1","0","-","-","-","-","48,820.0","0","0"
"7552","","","約定","-","-","01/23 09:20:55","本日中","2026/01/23","ＮＦ日経レバ","1570 東証(SOR)","信用新規","売建","特定","通常注文","-","-","-","制度(6ヶ月)","1","1","-","-","48,710.0","48,710.0","48,820.0","48,710","0"
"7551","","","約定","市場執行済","-","01/23 09:20:36","本日中","2026/01/23","ＮＦ日経レバ","1570 東証(SOR)","信用返済","買埋","特定","通常注文","-","-","-","制度(6ヶ月)","2","2","-","-","48,810.0","48,800.0","48,820.0","97,600","0"
"7550","","","約定","市場執行済","-","01/23 09:20:09","本日中","2026/01/23","ＮＦ日経レバ","1570 東証(SOR)","信用返済","買埋","特定","通常注文","-","-","-","制度(6ヶ月)","1","1","-","-","成行","48,830.0","48,820.0","48,830","0"
"7549","","","約定","-","-","01/23 09:13:10","本日中","2026/01/23","ＮＦ日経レバ","1570 東証(SOR)","信用新規","売建","特定","通常注文","-","-","-","制度(6ヶ月)","2","2","-","-","48,660.0","48,670.0","48,820.0","97,340","0"
"7548","","","-","取消済","-","01/23 09:12:38","-","-","ＮＦ日経レバ","1570 東証(SOR)","信用返済","買埋","特定","逆指値注文","-","市場価格が48,830円以上なら成行で執行(本日中)","-","制度(6ヶ月)","1","0","-","-","-","-","48,820.0","0","0"
"7547","","","約定","-","-","01/23 09:12:31","本日中","2026/01/23","ＮＦ日経レバ","1570 東証(SOR)","信用新規","売建","特定","通常注文","-","-","-","制度(6ヶ月)","1","1","-","-","48,670.0","48,670.0","48,820.0","48,670","0"
"7546","","","約定","市場執行済","-","01/23 09:12:13","本日中","2026/01/23","ＮＦ日経レバ","1570 東証(SOR)","信用返済","買埋","特定","通常注文","-","-","-","制度(6ヶ月)","2","2","-","-","48,710.0","48,710.0","48,820.0","97,420","0"
"7545","","","約定","市場執行済","-","01/23 09:12:13","本日中","2026/01/23","ＮＦ日経レバ","1570 東証(SOR)","信用返済","買埋","特定","通常注文","-","-","-","制度(6ヶ月)","1","1","-","-","48,710.0","48,710.0","48,820.0","48,710","0"
"7544","","","約定","-","-","01/23 09:11:13","本日中","2026/01/23","ＮＦ日経レバ","1570 東証(SOR)","信用新規","売建","特定","通常注文","-","-","-","制度(6ヶ月)","2","2","-","-","48,690.0","48,700.0","48,820.0","97,400","0"
"7543","","","-","取消済","-","01/23 09:10:49","-","-","ＮＦ日経レバ","1570 東証(SOR)","信用返済","買埋","特定","逆指値注文","-","市場価格が48,880円以上なら成行で執行(本日中)","-","制度(6ヶ月)","1","0","-","-","-","-","48,820.0","0","0"
"7542","","","約定","-","-","01/23 09:10:47","本日中","2026/01/23","ＮＦ日経レバ","1570 東証(SOR)","信用新規","売建","特定","通常注文","-","-","-","制度(6ヶ月)","1","1","-","-","48,760.0","48,770.0","48,820.0","48,770","0"
"7541","","","約定","市場執行済","-","01/23 09:07:36","本日中","2026/01/23","ＮＦ日経レバ","1570 東証(SOR)","信用返済","買埋","特定","通常注文","-","-","-","制度(6ヶ月)","1","1","-","-","48,840.0","48,840.0","48,820.0","48,840","0"
"7540","","","約定","-","-","01/23 09:07:13","本日中","2026/01/23","ＮＦ日経レバ","1570 東証(SOR)","信用新規","売建","特定","通常注文","-","-","-","制度(6ヶ月)","1","1","-","-","48,820.0","48,820.0","48,820.0","48,820","0"
"7539","","","約定","市場執行済","-","01/23 09:06:38","本日中","2026/01/23","ＮＦ日経レバ","1570 東証(SOR)","信用返済","買埋","特定","通常注文","-","-","-","制度(6ヶ月)","1","1","-","-","48,830.0","48,830.0","48,820.0","48,830","0"
"7538","","","約定","市場執行済","-","01/23 09:06:38","本日中","2026/01/23","ＮＦ日経レバ","1570 東証(SOR)","信用返済","買埋","特定","通常注文","-","-","-","制度(6ヶ月)","1","1","-","-","48,830.0","48,830.0","48,820.0","48,830","0"
"7537","","","約定","市場執行済","-","01/23 09:06:38","本日中","2026/01/23","ＮＦ日経レバ","1570 東証(SOR)","信用返済","買埋","特定","通常注文","-","-","-","制度(6ヶ月)","2","2","-","-","48,830.0","48,830.0","48,820.0","97,660","0"
"7536","","","約定","-","-","01/23 09:06:14","本日中","2026/01/23","ＮＦ日経レバ","1570 東証(SOR)","信用新規","売建","特定","通常注文","-","-","-","制度(6ヶ月)","1","1","-","-","48,820.0","48,820.0","48,820.0","48,820","0"
"7535","","","-","取消済","-","01/23 09:05:38","-","-","ＮＦ日経レバ","1570 東証(SOR)","信用返済","買埋","特定","逆指値注文","-","市場価格が49,050円以上なら成行で執行(本日中)","-","制度(6ヶ月)","2","0","-","-","-","-","48,820.0","0","0"
"7534","","","-","取消済","-","01/23 09:05:36","-","-","ＮＦ日経レバ","1570 東証(SOR)","信用返済","買埋","特定","逆指値注文","-","市場価格が49,120円以上なら成行で執行(本日中)","-","制度(6ヶ月)","1","0","-","-","-","-","48,820.0","0","0"
"7533","","","約定","-","-","01/23 09:05:27","本日中","2026/01/23","ＮＦ日経レバ","1570 東証(SOR)","信用新規","売建","特定","通常注文","-","-","-","制度(6ヶ月)","2","2","-","-","48,820.0","48,870.0","48,820.0","97,740","0"
"7532","","","-","取消済","-","01/23 09:05:16","-","-","ＮＦ日経レバ","1570 東証(SOR)","信用返済","買埋","特定","逆指値注文","-","市場価格が49,120円以上なら成行で執行(本日中)","-","制度(6ヶ月)","1","0","-","-","-","-","48,820.0","0","0"
