注文番号,アルゴ注文番号,繰越区分,状況,状況(逆指値),セット注文,注文日時,執行条件,注文期限,銘柄,銘柄コード・市場,取引,売買,口座,注文方法,アルゴ注文情報,逆指値条件,セット注文条件,信用区分(弁済期限),注文数量[株/口],約定数量[株/口],注文金額[円],（ポイント利用）,注文単価[円],約定単価[円],現在値[円],約定代金[円],手数料[円]
"8049","","","約定","市場執行済","-","03/02 09:29:16","本日中","2026/03/02","ＮＦ日経レバ","1570 東証(SOR)","信用返済","買埋","特定","通常注文","-","-","-","制度(6ヶ月)","1","1","-","-","成行","55,330.0","55,740.0","55,330","0"
"8048","","","約定","市場執行済","-","03/02 09:29:15","本日中","2026/03/02","ＮＦ日経レバ","1570 東証(SOR)","信用返済","買埋","特定","通常注文","-","-","-","制度(6ヶ月)","1","1","-","-","成行","55,310.0","55,740.0","55,310","0"
"8047","","","約定","-","-","03/02 09:29:08","本日中","2026/03/02","ＮＦ日経レバ","1570 東証(SOR)","信用新規","売建","特定","通常注文","-","-","-","制度(6ヶ月)","1","1","-","-","55,150.0","55,180.0","55,740.0","55,180","0"
"8046","","","-","取消済","-","03/02 09:29:05","-","-","ＮＦ日経レバ","1570 東証(SOR)","信用返済","買埋","特定","逆指値注文","-","市場価格が55,310円以上なら成行で執行(本日中)","-","制度(6ヶ月)","1","0","-","-","-","-","55,740.0","0","0"
"8045","","","約定","-","-","03/02 09:29:02","本日中","2026/03/02","ＮＦ日経レバ","1570 東証(SOR)","信用新規","売建","特定","通常注文","-","-","-","制度(6ヶ月)","1","1","-","-","55,160.0","55,170.0","55,740.0","55,170","0"
"8044","","","約定","市場執行済","-","03/02 09:28:36","本日中","2026/03/02","ＮＦ日経レバ","1570 東証(SOR)","信用返済","買埋","特定","通常注文","-","-","-","制度(6ヶ月)","1","1","-","-","55,230.0","55,230.0","55,740.0","55,230","0"
"8043","","","約定","市場執行済","-","03/02 09:28:36","本日中","2026/03/02","ＮＦ日経レバ","1570 東証(SOR)","信用返済","買埋","特定","通常注文","-","-","-","制度(6ヶ月)","1","1","-","-","55,230.0","55,230.0","55,740.0","55,230","0"
"8042","","","約定","-","-","03/02 09:28:28","本日中","2026/03/02","ＮＦ日経レバ","1570 東証(SOR)","信用新規","売建","特定","通常注文","-","-","-","制度(6ヶ月)","1","1","-","-","55,230.0","55,230.0","55,740.0","55,230","0"
"8041","","","-","取消済","-","03/02 09:28:22","-","-","ＮＦ日経レバ","1570 東証(SOR)","信用返済","買埋","特定","逆指値注文","-","市場価格が55,390円以上なら成行で執行(本日中)","-","制度(6ヶ月)","1","0","-","-","-","-","55,740.0","0","0"
"8040","","","約定","-","-","03/02 09:28:19","本日中","2026/03/02","ＮＦ日経レバ","1570 東証(SOR)","信用新規","売建","特定","通常注文","-","-","-","制度(6ヶ月)","1","1","-","-","55,240.0","55,250.0","55,740.0","55,250","0"
"8039","","","約定","市場執行済","-","03/02 09:28:13","本日中","2026/03/02","ＮＦ日経レバ","1570 東証(SOR)","信用返済","買埋","特定","通常注文","-","-","-","制度(6ヶ月)","1","1","-","-","55,270.0","55,250.0","55,740.0","55,250","0"
"8038","","","約定","市場執行済","-","03/02 09:28:13","本日中","2026/03/02","ＮＦ日経レバ","1570 東証(SOR)","信用返済","買埋","特定","通常注文","-","-","-","制度(6ヶ月)","1","1","-","-","55,270.0","55,240.0","55,740.0","55,240","0"
"8037","","","約定","-","-","03/02 09:28:03","本日中","2026/03/02","ＮＦ日経レバ","1570 東証(SOR)","信用新規","売建","特定","通常注文","-","-","-","制度(6ヶ月)","1","1","-","-","55,290.0","55,290.0","55,740.0","55,290","0"
"8036","","","-","取消済","-","03/02 09:27:58","-","-","ＮＦ日経レバ","1570 東証(SOR)","信用返済","買埋","特定","逆指値注文","-","市場価格が55,460円以上なら成行で執行(本日中)","-","制度(6ヶ月)","1","0","-","-","-","-","55,740.0","0","0"
"8035","","","約定","-","-","03/02 09:27:54","本日中","2026/03/02","ＮＦ日経レバ","1570 東証(SOR)","信用新規","売建","特定","通常注文","-","-","-","制度(6ヶ月)","1","1","-","-","55,310.0","55,320.0","55,740.0","55,320","0"
"8034","","","約定","市場執行済","-","03/02 09:27:25","本日中","2026/03/02","ＮＦ日経レバ","1570 東証(SOR)","信用返済","買埋","特定","通常注文","-","-","-","制度(6ヶ月)","1","1","-","-","55,510.0","55,390.0","55,740.0","55,390","0"
"8033","","","約定","-","-","03/02 09:26:57","本日中","2026/03/02","ＮＦ日経レバ","1570 東証(SOR)","信用新規","売建","特定","通常注文","-","-","-","制度(6ヶ月)","1","1","-","-","55,330.0","55,330.0","55,740.0","55,330","0"
"8032","","","約定","市場執行済","-","03/02 09:26:52","本日中","2026/03/02","ＮＦ日経レバ","1570 東証(SOR)","信用返済","買埋","特定","通常注文","-","-","-","制度(6ヶ月)","1","1","-","-","55,370.0","55,340.0","55,740.0","55,340","0"
"8031","","","約定","市場執行済","-","03/02 09:26:52","本日中","2026/03/02","ＮＦ日経レバ","1570 東証(SOR)","信用返済","買埋","特定","通常注文","-","-","-","制度(6ヶ月)","1","1","-","-","55,370.0","55,340.0","55,740.0","55,340","0"
