注文番号,アルゴ注文番号,繰越区分,状況,状況(逆指値),セット注文,注文日時,執行条件,注文期限,銘柄,銘柄コード・市場,取引,売買,口座,注文方法,アルゴ注文情報,逆指値条件,セット注文条件,信用区分(弁済期限),注文数量[株/口],約定数量[株/口],注文金額[円],（ポイント利用）,注文単価[円],約定単価[円],現在値[円],約定代金[円],手数料[円]
"7770","","","約定","市場執行済","-","02/02 09:39:09","本日中","2026/02/02","ＮＦ日経レバ","1570 東証(SOR)","信用返済","買埋","特定","通常注文","-","-","-","制度(6ヶ月)","1","1","-","-","49,610.0","49,610.0","49,550.0","49,610","0"
"7769","","","約定","-","-","02/02 09:38:33","本日中","2026/02/02","ＮＦ日経レバ","1570 東証(SOR)","信用新規","売建","特定","通常注文","-","-","-","制度(6ヶ月)","1","1","-","-","49,610.0","49,610.0","49,550.0","49,610","0"
"7768","","","約定","市場執行済","-","02/02 09:28:11","本日中","2026/02/02","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","49,410.0","49,440.0","49,550.0","49,440","0"
"7767","","","約定","-","-","02/02 09:26:55","本日中","2026/02/02","ＮＦ日経レバ","1570 東証(SOR)","信用新規","買建","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","49,580.0","49,580.0","49,550.0","49,580","0"
"7766","","","約定","市場執行済","-","02/02 09:26:36","本日中","2026/02/02","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","49,450.0","49,450.0","49,550.0","49,450","0"
"7765","","","約定","市場執行済","-","02/02 09:26:36","本日中","2026/02/02","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","49,450.0","49,450.0","49,550.0","49,450","0"
"7764","","","約定","-","-","02/02 09:23:29","本日中","2026/02/02","ＮＦ日経レバ","1570 東証(SOR)","信用新規","買建","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","49,360.0","49,350.0","49,550.0","49,350","0"
"7763","","","-","取消済","-","02/02 09:23:20","-","-","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","逆指値注文","-","市場価格が49,230円以下なら成行で執行(本日中)","-","一般(1日)","1","0","-","-","-","-","49,550.0","0","0"
"7762","","","約定","-","-","02/02 09:23:15","本日中","2026/02/02","ＮＦ日経レバ","1570 東証(SOR)","信用新規","買建","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","49,350.0","49,350.0","49,550.0","49,350","0"
"7761","","","約定","市場執行済","-","02/02 09:23:01","本日中","2026/02/02","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","49,320.0","49,335.0","49,550.0","49,335","0"
"7760","","","約定","市場執行済","-","02/02 09:23:01","本日中","2026/02/02","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","49,320.0","49,335.0","49,550.0","49,335","0"
"7759","","","約定","市場執行済","-","02/02 09:23:01","本日中","2026/02/02","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","49,320.0","49,335.0","49,550.0","49,335","0"
"7758","","","約定","-","-","02/02 09:17:17","本日中","2026/02/02","ＮＦ日経レバ","1570 東証(SOR)","信用新規","買建","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","49,030.0","49,025.0","49,550.0","49,025","0"
"7757","","","-","取消済","-","02/02 09:17:11","-","-","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","逆指値注文","-","市場価格が48,900円以下なら成行で執行(本日中)","-","一般(1日)","1","0","-","-","-","-","49,550.0","0","0"
"7756","","","-","取消済","-","02/02 09:17:07","-","-","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","逆指値注文","-","市場価格が48,890円以下なら成行で執行(本日中)","-","一般(1日)","1","0","-","-","-","-","49,550.0","0","0"
"7755","","","約定","-","-","02/02 09:17:05","本日中","2026/02/02","ＮＦ日経レバ","1570 東証(SOR)","信用新規","買建","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","49,020.0","49,020.0","49,550.0","49,020","0"
