注文番号,アルゴ注文番号,繰越区分,状況,状況(逆指値),セット注文,注文日時,執行条件,注文期限,銘柄,銘柄コード・市場,取引,売買,口座,注文方法,アルゴ注文情報,逆指値条件,セット注文条件,信用区分(弁済期限),注文数量[株/口],約定数量[株/口],注文金額[円],（ポイント利用）,注文単価[円],約定単価[円],現在値[円],約定代金[円],手数料[円]
"7798","","","約定","市場執行済","-","02/06 09:31:24","本日中","2026/02/06","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","48,120.0","48,120.0","48,180.0","48,120","0"
"7797","","","約定","市場執行済","-","02/06 09:31:15","本日中","2026/02/06","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","成行","48,120.0","48,180.0","48,120","0"
"7796","","","約定","-","-","02/06 09:31:00","本日中","2026/02/06","ＮＦ日経レバ","1570 東証(SOR)","信用新規","買建","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","48,190.0","48,190.0","48,180.0","48,190","0"
"7795","","","-","取消済","-","02/06 09:30:44","-","-","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","逆指値注文","-","市場価格が48,110円以下なら成行で執行(本日中)","-","一般(1日)","1","0","-","-","-","-","48,180.0","0","0"
"7794","","","約定","-","-","02/06 09:30:41","本日中","2026/02/06","ＮＦ日経レバ","1570 東証(SOR)","信用新規","買建","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","48,210.0","48,180.0","48,180.0","48,180","0"
"7793","","","約定","市場執行済","-","02/06 09:29:30","本日中","2026/02/06","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","48,160.0","48,190.0","48,180.0","48,190","0"
"7792","","","約定","市場執行済","-","02/06 09:29:30","本日中","2026/02/06","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","2","2","-","-","48,160.0","48,200.0","48,180.0","96,400","0"
"7791","","","約定","市場執行済","-","02/06 09:29:30","本日中","2026/02/06","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","48,160.0","48,200.0","48,180.0","48,200","0"
"7790","","","約定","-","-","02/06 09:27:21","本日中","2026/02/06","ＮＦ日経レバ","1570 東証(SOR)","信用新規","買建","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","48,130.0","48,130.0","48,180.0","48,130","0"
"7789","","","-","取消済","-","02/06 09:26:58","-","-","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","逆指値注文","-","市場価格が47,970円以下なら成行で執行(本日中)","-","一般(1日)","2","0","-","-","-","-","48,180.0","0","0"
"7788","","","-","取消済","-","02/06 09:26:56","-","-","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","逆指値注文","-","市場価格が47,910円以下なら成行で執行(本日中)","-","一般(1日)","1","0","-","-","-","-","48,180.0","0","0"
"7787","","","約定","-","-","02/06 09:26:44","本日中","2026/02/06","ＮＦ日経レバ","1570 東証(SOR)","信用新規","買建","特定","通常注文","-","-","-","一般(1日)","2","2","-","-","48,190.0","48,120.0","48,180.0","96,240","0"
"7786","","","-","取消済","-","02/06 09:26:25","-","-","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","逆指値注文","-","市場価格が47,910円以下なら成行で執行(本日中)","-","一般(1日)","1","0","-","-","-","-","48,180.0","0","0"
"7785","","","約定","-","-","02/06 09:26:09","本日中","2026/02/06","ＮＦ日経レバ","1570 東証(SOR)","信用新規","買建","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","48,110.0","48,060.0","48,180.0","48,060","0"
"7784","","","約定","市場執行済","-","02/06 09:25:39","本日中","2026/02/06","ＮＦ日経レバ","1570 東証(SOR)","信用返済","買埋","特定","通常注文","-","-","-","制度(6ヶ月)","1","1","-","-","48,070.0","48,020.0","48,180.0","48,020","0"
"7783","","","約定","-","-","02/06 09:25:06","本日中","2026/02/06","ＮＦ日経レバ","1570 東証(SOR)","信用新規","売建","特定","通常注文","-","-","-","制度(6ヶ月)","1","1","-","-","47,940.0","47,950.0","48,180.0","47,950","0"
"7782","","","約定","市場執行済","-","02/06 09:16:54","本日中","2026/02/06","ＮＦ日経レバ","1570 東証(SOR)","信用返済","買埋","特定","通常注文","-","-","-","制度(6ヶ月)","1","1","-","-","成行","47,410.0","48,180.0","47,410","0"
"7781","","","約定","-","-","02/06 09:16:29","本日中","2026/02/06","ＮＦ日経レバ","1570 東証(SOR)","信用新規","売建","特定","通常注文","-","-","-","制度(6ヶ月)","1","1","-","-","47,310.0","47,320.0","48,180.0","47,320","0"
