注文番号,アルゴ注文番号,繰越区分,状況,状況(逆指値),セット注文,注文日時,執行条件,注文期限,銘柄,銘柄コード・市場,取引,売買,口座,注文方法,アルゴ注文情報,逆指値条件,セット注文条件,信用区分(弁済期限),注文数量[株/口],約定数量[株/口],注文金額[円],（ポイント利用）,注文単価[円],約定単価[円],現在値[円],約定代金[円],手数料[円]
"7423","","","約定","市場執行済","-","01/19 09:07:18","本日中","2026/01/19","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","48,500.0","48,500.0","48,310.0","48,500","0"
"7422","","","約定","市場執行済","-","01/19 09:07:18","本日中","2026/01/19","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","48,500.0","48,500.0","48,310.0","48,500","0"
"7421","","","約定","-","-","01/19 09:07:06","本日中","2026/01/19","ＮＦ日経レバ","1570 東証(SOR)","信用新規","買建","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","48,570.0","48,570.0","48,310.0","48,570","0"
"7420","","","-","取消済","-","01/19 09:06:59","-","-","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","逆指値注文","-","市場価格が48,430円以下なら成行で執行(本日中)","-","一般(1日)","1","0","-","-","-","-","48,310.0","0","0"
"7419","","","約定","-","-","01/19 09:06:56","本日中","2026/01/19","ＮＦ日経レバ","1570 東証(SOR)","信用新規","買建","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","48,550.0","48,550.0","48,310.0","48,550","0"
"7418","","","約定","市場執行済","-","01/19 09:06:48","本日中","2026/01/19","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","48,510.0","48,535.0","48,310.0","48,535","0"
"7417","","","約定","-","-","01/19 09:06:25","本日中","2026/01/19","ＮＦ日経レバ","1570 東証(SOR)","信用新規","買建","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","48,510.0","48,485.0","48,310.0","48,485","0"
"7416","","","約定","市場執行済","-","01/19 09:05:48","本日中","2026/01/19","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","48,530.0","48,560.0","48,310.0","48,560","0"
"7415","","","約定","市場執行済","-","01/19 09:05:48","本日中","2026/01/19","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","2","2","-","-","48,530.0","48,560.0","48,310.0","97,120","0"
"7414","","","約定","市場執行済","-","01/19 09:05:48","本日中","2026/01/19","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","48,530.0","48,560.0","48,310.0","48,560","0"
"7413","","","約定","-","-","01/19 09:05:00","本日中","2026/01/19","ＮＦ日経レバ","1570 東証(SOR)","信用新規","買建","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","48,490.0","48,490.0","48,310.0","48,490","0"
"7412","","","-","取消済","-","01/19 09:04:41","-","-","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","逆指値注文","-","市場価格が48,240円以下なら成行で執行(本日中)","-","一般(1日)","1","0","-","-","-","-","48,310.0","0","0"
"7411","","","-","取消済","-","01/19 09:04:37","-","-","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","逆指値注文","-","市場価格が48,250円以下なら成行で執行(本日中)","-","一般(1日)","2","0","-","-","-","-","48,310.0","0","0"
"7410","","","-","取消済","-","01/19 09:04:33","-","-","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","逆指値注文","-","市場価格が48,240円以下なら成行で執行(本日中)","-","一般(1日)","1","0","-","-","-","-","48,310.0","0","0"
"7409","","","約定","-","-","01/19 09:04:25","本日中","2026/01/19","ＮＦ日経レバ","1570 東証(SOR)","信用新規","買建","特定","通常注文","-","-","-","一般(1日)","2","2","-","-","48,440.0","48,420.0","48,310.0","96,840","0"
"7408","","","-","取消済","-","01/19 09:04:20","-","-","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","逆指値注文","-","市場価格が48,240円以下なら成行で執行(本日中)","-","一般(1日)","1","0","-","-","-","-","48,310.0","0","0"
"7407","","","約定","-","-","01/19 09:04:17","本日中","2026/01/19","ＮＦ日経レバ","1570 東証(SOR)","信用新規","買建","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","48,360.0","48,360.0","48,310.0","48,360","0"
