注文番号,アルゴ注文番号,繰越区分,状況,状況(逆指値),セット注文,注文日時,執行条件,注文期限,銘柄,銘柄コード・市場,取引,売買,口座,注文方法,アルゴ注文情報,逆指値条件,セット注文条件,信用区分(弁済期限),注文数量[株/口],約定数量[株/口],注文金額[円],（ポイント利用）,注文単価[円],約定単価[円],現在値[円],約定代金[円],手数料[円]
"7356","","","約定","市場執行済","-","01/15 09:14:03","本日中","2026/01/15","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","成行","49,330.0","49,290.0","49,330","0"
"7357","","","約定","市場執行済","-","01/15 09:13:17","本日中","2026/01/15","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","2","2","-","-","成行","49,340.0","49,290.0","98,680","0"
"7355","","","約定","-","-","01/15 09:12:51","本日中","2026/01/15","ＮＦ日経レバ","1570 東証(SOR)","信用新規","買建","特定","通常注文","-","-","-","一般(1日)","2","2","-","-","49,460.0","49,460.0","49,290.0","98,920","0"
"7354","","","-","取消済","-","01/15 09:12:49","-","-","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","逆指値注文","-","市場価格が49,320円以下なら成行で執行(本日中)","-","一般(1日)","1","0","-","-","-","-","49,290.0","0","0"
"7353","","","約定","-","-","01/15 09:12:46","本日中","2026/01/15","ＮＦ日経レバ","1570 東証(SOR)","信用新規","買建","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","49,440.0","49,440.0","49,290.0","49,440","0"
"7352","","","約定","市場執行済","-","01/15 09:12:39","本日中","2026/01/15","ＮＦ日経レバ","1570 東証(SOR)","信用返済","買埋","特定","通常注文","-","-","-","制度(6ヶ月)","1","1","-","-","49,410.0","49,410.0","49,290.0","49,410","0"
"7351","","","約定","-","-","01/15 09:12:22","本日中","2026/01/15","ＮＦ日経レバ","1570 東証(SOR)","信用新規","売建","特定","通常注文","-","-","-","制度(6ヶ月)","1","1","-","-","49,360.0","49,360.0","49,290.0","49,360","0"
"7350","","","約定","市場執行済","-","01/15 09:12:15","本日中","2026/01/15","ＮＦ日経レバ","1570 東証(SOR)","信用返済","買埋","特定","通常注文","-","-","-","制度(6ヶ月)","1","1","-","-","成行","49,400.0","49,290.0","49,400","0"
"7349","","","約定","市場執行済","-","01/15 09:12:16","本日中","2026/01/15","ＮＦ日経レバ","1570 東証(SOR)","信用返済","買埋","特定","通常注文","-","-","-","制度(6ヶ月)","1","1","-","-","成行","49,410.0","49,290.0","49,410","0"
"7348","","","約定","市場執行済","-","01/15 09:12:15","本日中","2026/01/15","ＮＦ日経レバ","1570 東証(SOR)","信用返済","買埋","特定","通常注文","-","-","-","制度(6ヶ月)","2","2","-","-","成行","49,400.0","49,290.0","98,800","0"
"7347","","","約定","-","-","01/15 09:11:00","本日中","2026/01/15","ＮＦ日経レバ","1570 東証(SOR)","信用新規","売建","特定","通常注文","-","-","-","制度(6ヶ月)","1","1","-","-","49,260.0","49,260.0","49,290.0","49,260","0"
"7346","","","-","取消済","-","01/15 09:10:45","-","-","ＮＦ日経レバ","1570 東証(SOR)","信用返済","買埋","特定","逆指値注文","-","市場価格が49,410円以上なら成行で執行(本日中)","-","制度(6ヶ月)","1","0","-","-","-","-","49,290.0","0","0"
