注文番号,アルゴ注文番号,繰越区分,状況,状況(逆指値),セット注文,注文日時,執行条件,注文期限,銘柄,銘柄コード・市場,取引,売買,口座,注文方法,アルゴ注文情報,逆指値条件,セット注文条件,信用区分(弁済期限),注文数量[株/口],約定数量[株/口],注文金額[円],（ポイント利用）,注文単価[円],約定単価[円],現在値[円],約定代金[円],手数料[円]
"7702","","","約定","市場執行済","-","01/29 09:21:17","本日中","2026/01/29","ＮＦ日経レバ","1570 東証(SOR)","信用返済","買埋","特定","通常注文","-","-","-","制度(6ヶ月)","2","2","-","-","48,630.0","48,620.0","48,730.0","97,240","0"
"7701","","","約定","市場執行済","-","01/29 09:21:17","本日中","2026/01/29","ＮＦ日経レバ","1570 東証(SOR)","信用返済","買埋","特定","通常注文","-","-","-","制度(6ヶ月)","1","1","-","-","48,630.0","48,620.0","48,730.0","48,620","0"
"7700","","","約定","-","-","01/29 09:20:54","本日中","2026/01/29","ＮＦ日経レバ","1570 東証(SOR)","信用新規","売建","特定","通常注文","-","-","-","制度(6ヶ月)","2","2","-","-","48,570.0","48,595.0","48,730.0","97,190","0"
"7699","","","-","取消済","-","01/29 09:20:45","-","-","ＮＦ日経レバ","1570 東証(SOR)","信用返済","買埋","特定","逆指値注文","-","市場価格が48,720円以上なら成行で執行(本日中)","-","制度(6ヶ月)","1","0","-","-","-","-","48,730.0","0","0"
"7698","","","約定","-","-","01/29 09:20:44","本日中","2026/01/29","ＮＦ日経レバ","1570 東証(SOR)","信用新規","売建","特定","通常注文","-","-","-","制度(6ヶ月)","1","1","-","-","48,580.0","48,590.0","48,730.0","48,590","0"
"7697","","","約定","市場執行済","-","01/29 09:20:37","本日中","2026/01/29","ＮＦ日経レバ","1570 東証(SOR)","信用返済","買埋","特定","通常注文","-","-","-","制度(6ヶ月)","2","2","-","-","成行","48,580.0","48,730.0","97,160","0"
"7696","","","約定","市場執行済","-","01/29 09:20:37","本日中","2026/01/29","ＮＦ日経レバ","1570 東証(SOR)","信用返済","買埋","特定","通常注文","-","-","-","制度(6ヶ月)","1","1","-","-","成行","48,580.0","48,730.0","48,580","0"
"7695","","","約定","-","-","01/29 09:20:20","本日中","2026/01/29","ＮＦ日経レバ","1570 東証(SOR)","信用新規","売建","特定","通常注文","-","-","-","制度(6ヶ月)","2","2","-","-","48,440.0","48,440.0","48,730.0","96,880","0"
"7694","","","-","取消済","-","01/29 09:20:15","-","-","ＮＦ日経レバ","1570 東証(SOR)","信用返済","買埋","特定","逆指値注文","-","市場価格が48,580円以上なら成行で執行(本日中)","-","制度(6ヶ月)","1","0","-","-","-","-","48,730.0","0","0"
"7693","","","約定","-","-","01/29 09:20:12","本日中","2026/01/29","ＮＦ日経レバ","1570 東証(SOR)","信用新規","売建","特定","通常注文","-","-","-","制度(6ヶ月)","1","1","-","-","48,440.0","48,450.0","48,730.0","48,450","0"
"7692","","","約定","市場執行済","-","01/29 09:19:35","本日中","2026/01/29","ＮＦ日経レバ","1570 東証(SOR)","信用返済","買埋","特定","通常注文","-","-","-","制度(6ヶ月)","1","1","-","-","48,580.0","48,560.0","48,730.0","48,560","0"
"7691","","","約定","-","-","01/29 09:18:50","本日中","2026/01/29","ＮＦ日経レバ","1570 東証(SOR)","信用新規","売建","特定","通常注文","-","-","-","制度(6ヶ月)","1","1","-","-","48,460.0","48,460.0","48,730.0","48,460","0"
"7690","","","約定","市場執行済","-","01/29 09:17:57","本日中","2026/01/29","ＮＦ日経レバ","1570 東証(SOR)","信用返済","買埋","特定","通常注文","-","-","-","制度(6ヶ月)","2","2","-","-","48,620.0","48,620.0","48,730.0","97,240","0"
