注文番号,アルゴ注文番号,繰越区分,状況,状況(逆指値),セット注文,注文日時,執行条件,注文期限,銘柄,銘柄コード・市場,取引,売買,口座,注文方法,アルゴ注文情報,逆指値条件,セット注文条件,信用区分(弁済期限),注文数量[株/口],約定数量[株/口],注文金額[円],（ポイント利用）,注文単価[円],約定単価[円],現在値[円],約定代金[円],手数料[円]
"7909","","","約定","市場執行済","-","02/17 09:43:03","本日中","2026/02/17","ＮＦ日経レバ","1570 東証(SOR)","信用返済","買埋","特定","通常注文","-","-","-","制度(6ヶ月)","1","1","-","-","53,870.0","53,870.0","54,830.0","53,870","0"
"7908","","","約定","-","-","02/17 09:42:37","本日中","2026/02/17","ＮＦ日経レバ","1570 東証(SOR)","信用新規","売建","特定","通常注文","-","-","-","制度(6ヶ月)","1","1","-","-","53,870.0","53,870.0","54,830.0","53,870","0"
"7907","","","約定","市場執行済","-","02/17 09:07:44","本日中","2026/02/17","ＮＦ日経レバ","1570 東証(SOR)","信用返済","買埋","特定","通常注文","-","-","-","制度(6ヶ月)","1","1","-","-","53,790.0","53,790.0","54,830.0","53,790","0"
"7906","","","約定","市場執行済","-","02/17 09:07:44","本日中","2026/02/17","ＮＦ日経レバ","1570 東証(SOR)","信用返済","買埋","特定","通常注文","-","-","-","制度(6ヶ月)","1","1","-","-","53,790.0","53,790.0","54,830.0","53,790","0"
"7905","","","約定","-","-","02/17 09:07:18","本日中","2026/02/17","ＮＦ日経レバ","1570 東証(SOR)","信用新規","売建","特定","通常注文","-","-","-","制度(6ヶ月)","1","1","-","-","53,680.0","53,680.0","54,830.0","53,680","0"
"7904","","","-","取消済","-","02/17 09:06:54","-","-","ＮＦ日経レバ","1570 東証(SOR)","信用返済","買埋","特定","逆指値注文","-","市場価格が53,980円以上なら成行で執行(本日中)","-","制度(6ヶ月)","1","0","-","-","-","-","54,830.0","0","0"
"7903","","","約定","-","-","02/17 09:06:40","本日中","2026/02/17","ＮＦ日経レバ","1570 東証(SOR)","信用新規","売建","特定","通常注文","-","-","-","制度(6ヶ月)","1","1","-","-","53,700.0","53,760.0","54,830.0","53,760","0"
"7902","","","約定","市場執行済","-","02/17 09:06:21","本日中","2026/02/17","ＮＦ日経レバ","1570 東証(SOR)","信用返済","買埋","特定","通常注文","-","-","-","制度(6ヶ月)","1","1","-","-","成行","53,900.0","54,830.0","53,900","0"
"7901","","","約定","-","-","02/17 09:06:18","本日中","2026/02/17","ＮＦ日経レバ","1570 東証(SOR)","信用新規","売建","特定","通常注文","-","-","-","制度(6ヶ月)","1","1","-","-","53,630.0","53,890.0","54,830.0","53,890","0"
"7900","","","約定","-","-","02/17 09:05:28","本日中","2026/02/17","ＮＦ日経レバ","1570 東証(SOR)","信用返済","買埋","特定","通常注文","-","-","-","制度(6ヶ月)","3","3","-","-","53,970.0","53,970.0","54,830.0","161,910","0"
