注文番号,アルゴ注文番号,繰越区分,状況,状況(逆指値),セット注文,注文日時,執行条件,注文期限,銘柄,銘柄コード・市場,取引,売買,口座,注文方法,アルゴ注文情報,逆指値条件,セット注文条件,信用区分(弁済期限),注文数量[株/口],約定数量[株/口],注文金額[円],（ポイント利用）,注文単価[円],約定単価[円],現在値[円],約定代金[円],手数料[円]
"7152","","","約定","市場執行済","-","01/05 09:24:00","本日中","2026/01/05","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","45,050.0","45,050.0","45,210.0","45,050","0"
"7151","","","約定","-","-","01/05 09:23:42","本日中","2026/01/05","ＮＦ日経レバ","1570 東証(SOR)","信用新規","買建","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","45,070.0","45,070.0","45,210.0","45,070","0"
"7150","","","約定","市場執行済","-","01/05 09:21:47","本日中","2026/01/05","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","2","2","-","-","45,150.0","45,150.0","45,210.0","90,300","0"
"7149","","","約定","市場執行済","-","01/05 09:21:47","本日中","2026/01/05","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","45,150.0","45,150.0","45,210.0","45,150","0"
"7148","","","約定","-","-","01/05 09:21:37","本日中","2026/01/05","ＮＦ日経レバ","1570 東証(SOR)","信用新規","買建","特定","通常注文","-","-","-","一般(1日)","2","2","-","-","45,130.0","45,130.0","45,210.0","90,260","0"
"7147","","","-","取消済","-","01/05 09:21:24","-","-","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","逆指値注文","-","市場価格が45,000円以下なら成行で執行(本日中)","-","一般(1日)","1","0","-","-","-","-","45,210.0","0","0"
"7146","","","約定","-","-","01/05 09:21:22","本日中","2026/01/05","ＮＦ日経レバ","1570 東証(SOR)","信用新規","買建","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","45,120.0","45,120.0","45,210.0","45,120","0"
"7145","","","約定","市場執行済","-","01/05 09:20:39","本日中","2026/01/05","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","2","2","-","-","45,180.0","45,180.0","45,210.0","90,360","0"
"7144","","","約定","市場執行済","-","01/05 09:20:39","本日中","2026/01/05","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","45,180.0","45,180.0","45,210.0","45,180","0"
"7143","","","約定","市場執行済","-","01/05 09:20:39","本日中","2026/01/05","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","45,180.0","45,180.0","45,210.0","45,180","0"
"7142","","","約定","-","-","01/05 09:20:07","本日中","2026/01/05","ＮＦ日経レバ","1570 東証(SOR)","信用新規","買建","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","45,140.0","45,125.0","45,210.0","45,125","0"
"7141","","","-","取消済","-","01/05 09:19:21","-","-","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","逆指値注文","-","市場価格が45,010円以下なら成行で執行(本日中)","-","一般(1日)","2","0","-","-","-","-","45,210.0","0","0"
"7140","","","-","取消済","-","01/05 09:19:20","-","-","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","逆指値注文","-","市場価格が45,000円以下なら成行で執行(本日中)","-","一般(1日)","1","0","-","-","-","-","45,210.0","0","0"
"7139","","","約定","-","-","01/05 09:19:18","本日中","2026/01/05","ＮＦ日経レバ","1570 東証(SOR)","信用新規","買建","特定","通常注文","-","-","-","一般(1日)","2","2","-","-","45,130.0","45,130.0","45,210.0","90,260","0"
"7138","","","-","取消済","-","01/05 09:18:09","-","-","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","逆指値注文","-","市場価格が45,000円以下なら成行で執行(本日中)","-","一般(1日)","1","0","-","-","-","-","45,210.0","0","0"
"7137","","","約定","-","-","01/05 09:18:07","本日中","2026/01/05","ＮＦ日経レバ","1570 東証(SOR)","信用新規","買建","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","45,120.0","45,120.0","45,210.0","45,120","0"
"7136","","","約定","市場執行済","-","01/05 09:17:37","本日中","2026/01/05","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","2","2","-","-","45,060.0","45,060.0","45,210.0","90,120","0"
"7135","","","約定","市場執行済","-","01/05 09:17:37","本日中","2026/01/05","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","45,060.0","45,060.0","45,210.0","45,060","0"
"7134","","","約定","-","-","01/05 09:17:07","本日中","2026/01/05","ＮＦ日経レバ","1570 東証(SOR)","信用新規","買建","特定","通常注文","-","-","-","一般(1日)","2","2","-","-","45,060.0","45,060.0","45,210.0","90,120","0"
"7133","","","-","取消済","-","01/05 09:16:55","-","-","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","逆指値注文","-","市場価格が44,860円以下なら成行で執行(本日中)","-","一般(1日)","1","0","-","-","-","-","45,210.0","0","0"
"7132","","","約定","-","-","01/05 09:16:51","本日中","2026/01/05","ＮＦ日経レバ","1570 東証(SOR)","信用新規","買建","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","44,980.0","44,980.0","45,210.0","44,980","0"
"7131","","","約定","市場執行済","-","01/05 09:15:55","本日中","2026/01/05","ＮＦ日経レバ","1570 東証(SOR)","信用返済","買埋","特定","通常注文","-","-","-","制度(6ヶ月)","2","2","-","-","44,980.0","44,980.0","45,210.0","89,960","0"
"7130","","","約定","市場執行済","-","01/05 09:15:55","本日中","2026/01/05","ＮＦ日経レバ","1570 東証(SOR)","信用返済","買埋","特定","通常注文","-","-","-","制度(6ヶ月)","1","1","-","-","44,980.0","44,980.0","45,210.0","44,980","0"
"7129","","","約定","-","-","01/05 09:15:22","本日中","2026/01/05","ＮＦ日経レバ","1570 東証(SOR)","信用新規","売建","特定","通常注文","-","-","-","制度(6ヶ月)","2","2","-","-","44,920.0","44,930.0","45,210.0","89,860","0"
"7128","","","-","取消済","-","01/05 09:15:08","-","-","ＮＦ日経レバ","1570 東証(SOR)","信用返済","買埋","特定","逆指値注文","-","市場価格が45,080円以上なら成行で執行(本日中)","-","制度(6ヶ月)","1","0","-","-","-","-","45,210.0","0","0"
