注文番号,アルゴ注文番号,繰越区分,状況,状況(逆指値),セット注文,注文日時,執行条件,注文期限,銘柄,銘柄コード・市場,取引,売買,口座,注文方法,アルゴ注文情報,逆指値条件,セット注文条件,信用区分(弁済期限),注文数量[株/口],約定数量[株/口],注文金額[円],（ポイント利用）,注文単価[円],約定単価[円],現在値[円],約定代金[円],手数料[円]
"7720","","","約定","市場執行済","-","01/30 09:29:14","本日中","2026/01/30","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","47,940.0","47,945.0","48,300.0","47,945","0"
"7719","","","約定","-","-","01/30 09:28:56","本日中","2026/01/30","ＮＦ日経レバ","1570 東証(SOR)","信用新規","買建","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","47,960.0","47,960.0","48,300.0","47,960","0"
"7718","","","約定","市場執行済","-","01/30 09:28:38","本日中","2026/01/30","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","2","2","-","-","48,000.0","48,000.0","48,300.0","96,000","0"
"7717","","","約定","市場執行済","-","01/30 09:28:38","本日中","2026/01/30","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","48,000.0","48,000.0","48,300.0","48,000","0"
"7716","","","約定","-","-","01/30 09:27:38","本日中","2026/01/30","ＮＦ日経レバ","1570 東証(SOR)","信用新規","買建","特定","通常注文","-","-","-","一般(1日)","2","2","-","-","47,990.0","47,985.0","48,300.0","95,970","0"
"7715","","","-","取消済","-","01/30 09:27:33","-","-","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","逆指値注文","-","市場価格が47,830円以下なら成行で執行(本日中)","-","一般(1日)","1","0","-","-","-","-","48,300.0","0","0"
"7714","","","約定","-","-","01/30 09:27:30","本日中","2026/01/30","ＮＦ日経レバ","1570 東証(SOR)","信用新規","買建","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","47,970.0","47,970.0","48,300.0","47,970","0"
"7713","","","約定","市場執行済","-","01/30 09:27:16","本日中","2026/01/30","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","成行","47,980.0","48,300.0","47,980","0"
"7712","","","取消済（出来無）","市場執行済","-","01/30 09:26:29","本日中","2026/01/30","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","1","0","-","-","48,050.0","-","48,300.0","0","0"
"7711","","","-","取消済","-","01/30 09:26:15","-","-","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","逆指値注文","-","市場価格が47,980円以下なら成行で執行(本日中)","-","一般(1日)","1","0","-","-","-","-","48,300.0","0","0"
"7710","","","-","取消済","-","01/30 09:25:14","-","-","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","逆指値注文","-","市場価格が47,980円以下なら成行で執行(本日中)","-","一般(1日)","1","0","-","-","-","-","48,300.0","0","0"
"7709","","","約定","-","-","01/30 09:25:01","本日中","2026/01/30","ＮＦ日経レバ","1570 東証(SOR)","信用新規","買建","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","48,140.0","48,140.0","48,300.0","48,140","0"
"7708","","","約定","市場執行済","-","01/30 09:23:29","本日中","2026/01/30","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","48,090.0","48,090.0","48,300.0","48,090","0"
"7707","","","約定","-","-","01/30 09:23:11","本日中","2026/01/30","ＮＦ日経レバ","1570 東証(SOR)","信用新規","買建","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","48,080.0","48,080.0","48,300.0","48,080","0"
"7706","","","約定","市場執行済","-","01/30 09:14:45","本日中","2026/01/30","ＮＦ日経レバ","1570 東証(SOR)","信用返済","買埋","特定","通常注文","-","-","-","制度(6ヶ月)","1","1","-","-","47,900.0","47,900.0","48,300.0","47,900","0"
"7705","","","約定","-","-","01/30 09:12:58","本日中","2026/01/30","ＮＦ日経レバ","1570 東証(SOR)","信用新規","売建","特定","通常注文","-","-","-","制度(6ヶ月)","1","1","-","-","47,910.0","47,910.0","48,300.0","47,910","0"
"7704","","","約定","市場執行済","-","01/30 09:01:41","本日中","2026/01/30","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","成行","48,110.0","48,300.0","48,110","0"
"7703","","","約定","-","-","01/30 09:01:14","本日中","2026/01/30","ＮＦ日経レバ","1570 東証(SOR)","信用新規","買建","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","48,250.0","48,250.0","48,300.0","48,250","0"
