注文番号,アルゴ注文番号,繰越区分,状況,状況(逆指値),セット注文,注文日時,執行条件,注文期限,銘柄,銘柄コード・市場,取引,売買,口座,注文方法,アルゴ注文情報,逆指値条件,セット注文条件,信用区分(弁済期限),注文数量[株/口],約定数量[株/口],注文金額[円],（ポイント利用）,注文単価[円],約定単価[円],現在値[円],約定代金[円],手数料[円]
"8021","","","約定","市場執行済","-","02/27 09:38:25","本日中","2026/02/27","ＮＦ日経レバ","1570 東証(SOR)","信用返済","買埋","特定","通常注文","-","-","-","制度(6ヶ月)","1","1","-","-","56,890.0","56,880.0","58,200.0","56,880","0"
"8020","","","約定","-","-","02/27 09:38:14","本日中","2026/02/27","ＮＦ日経レバ","1570 東証(SOR)","信用新規","売建","特定","通常注文","-","-","-","制度(6ヶ月)","1","1","-","-","56,880.0","56,890.0","58,200.0","56,890","0"
"8019","","","約定","市場執行済","-","02/27 09:38:05","本日中","2026/02/27","ＮＦ日経レバ","1570 東証(SOR)","信用返済","買埋","特定","通常注文","-","-","-","制度(6ヶ月)","1","1","-","-","56,910.0","56,910.0","58,200.0","56,910","0"
"8018","","","取消済（出来無）","-","-","02/27 09:37:52","本日中","2026/02/27","ＮＦ日経レバ","1570 東証(SOR)","信用新規","売建","特定","通常注文","-","-","-","制度(6ヶ月)","1","0","-","-","56,940.0","-","58,200.0","0","0"
"8017","","","-","取消済","-","02/27 09:37:36","-","-","ＮＦ日経レバ","1570 東証(SOR)","信用返済","買埋","特定","逆指値注文","-","市場価格が57,090円以上なら成行で執行(本日中)","-","制度(6ヶ月)","1","0","-","-","-","-","58,200.0","0","0"
"8016","","","約定","-","-","02/27 09:37:34","本日中","2026/02/27","ＮＦ日経レバ","1570 東証(SOR)","信用新規","売建","特定","通常注文","-","-","-","制度(6ヶ月)","1","1","-","-","56,950.0","56,950.0","58,200.0","56,950","0"
"8015","","","約定","市場執行済","-","02/27 09:37:14","本日中","2026/02/27","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","56,990.0","56,990.0","58,200.0","56,990","0"
"8014","","","約定","-","-","02/27 09:37:08","本日中","2026/02/27","ＮＦ日経レバ","1570 東証(SOR)","信用新規","買建","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","56,980.0","56,980.0","58,200.0","56,980","0"
"8013","","","約定","市場執行済","-","02/27 09:36:55","本日中","2026/02/27","ＮＦ日経レバ","1570 東証(SOR)","信用返済","買埋","特定","通常注文","-","-","-","制度(6ヶ月)","1","1","-","-","56,990.0","56,990.0","58,200.0","56,990","0"
"8012","","","約定","-","-","02/27 09:35:58","本日中","2026/02/27","ＮＦ日経レバ","1570 東証(SOR)","信用新規","売建","特定","通常注文","-","-","-","制度(6ヶ月)","1","1","-","-","56,980.0","56,980.0","58,200.0","56,980","0"
"8011","","","約定","市場執行済","-","02/27 09:35:18","本日中","2026/02/27","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","57,040.0","57,040.0","58,200.0","57,040","0"
"8010","","","約定","-","-","02/27 09:34:34","本日中","2026/02/27","ＮＦ日経レバ","1570 東証(SOR)","信用新規","買建","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","57,070.0","57,040.0","58,200.0","57,040","0"
