注文番号,アルゴ注文番号,繰越区分,状況,状況(逆指値),セット注文,注文日時,執行条件,注文期限,銘柄,銘柄コード・市場,取引,売買,口座,注文方法,アルゴ注文情報,逆指値条件,セット注文条件,信用区分(弁済期限),注文数量[株/口],約定数量[株/口],注文金額[円],（ポイント利用）,注文単価[円],約定単価[円],現在値[円],約定代金[円],手数料[円]
"7294","","","約定","市場執行済","-","01/13 09:42:47","本日中","2026/01/13","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","成行","48,960.0","49,060.0","48,960","0"
"7293","","","-","取消済","-","01/13 09:42:42","-","-","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","逆指値注文","-","市場価格が48,930円以下なら成行で執行(本日中)","-","一般(1日)","1","0","-","-","-","-","49,060.0","0","0"
"7292","","","-","取消済","-","01/13 09:42:40","-","-","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","逆指値注文","-","市場価格が48,930円以下なら成行で執行(本日中)","-","一般(1日)","1","0","-","-","-","-","49,060.0","0","0"
"7291","","","-","取消済","-","01/13 09:42:34","-","-","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","逆指値注文","-","市場価格が48,770円以下なら成行で執行(本日中)","-","一般(1日)","1","0","-","-","-","-","49,060.0","0","0"
"7290","","","-","取消済","-","01/13 09:39:45","-","-","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","逆指値注文","-","市場価格が48,770円以下なら成行で執行(本日中)","-","一般(1日)","1","0","-","-","-","-","49,060.0","0","0"
"7289","","","約定","-","-","01/13 09:39:42","本日中","2026/01/13","ＮＦ日経レバ","1570 東証(SOR)","信用新規","買建","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","48,910.0","48,905.0","49,060.0","48,905","0"
"7288","","","約定","市場執行済","-","01/13 09:36:17","本日中","2026/01/13","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","成行","48,870.0","49,060.0","48,870","0"
"7287","","","-","取消済","-","01/13 09:36:13","-","-","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","逆指値注文","-","市場価格が48,870円以下なら成行で執行(本日中)","-","一般(1日)","1","0","-","-","-","-","49,060.0","0","0"
"7286","","","約定","市場執行済","-","01/13 09:36:13","本日中","2026/01/13","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","成行","48,885.0","49,060.0","48,885","0"
"7285","","","-","取消済","-","01/13 09:36:07","-","-","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","逆指値注文","-","市場価格が48,700円以下なら成行で執行(本日中)","-","一般(1日)","1","0","-","-","-","-","49,060.0","0","0"
"7284","","","-","取消済","-","01/13 09:36:07","-","-","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","逆指値注文","-","市場価格が48,690円以下なら成行で執行(本日中)","-","一般(1日)","1","0","-","-","-","-","49,060.0","0","0"
"7283","","","-","取消済","-","01/13 09:36:05","-","-","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","逆指値注文","-","市場価格が48,700円以下なら成行で執行(本日中)","-","一般(1日)","1","0","-","-","-","-","49,060.0","0","0"
"7282","","","-","取消済","-","01/13 09:36:05","-","-","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","逆指値注文","-","市場価格が48,690円以下なら成行で執行(本日中)","-","一般(1日)","1","0","-","-","-","-","49,060.0","0","0"
"7281","","","-","取消済","-","01/13 09:35:15","-","-","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","逆指値注文","-","市場価格が48,700円以下なら成行で執行(本日中)","-","一般(1日)","1","0","-","-","-","-","49,060.0","0","0"
"7280","","","-","取消済","-","01/13 09:35:12","-","-","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","逆指値注文","-","市場価格が48,690円以下なら成行で執行(本日中)","-","一般(1日)","1","0","-","-","-","-","49,060.0","0","0"
"7279","","","約定","-","-","01/13 09:35:10","本日中","2026/01/13","ＮＦ日経レバ","1570 東証(SOR)","信用新規","買建","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","48,840.0","48,840.0","49,060.0","48,840","0"
"7278","","","-","取消済","-","01/13 09:34:54","-","-","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","逆指値注文","-","市場価格が48,690円以下なら成行で執行(本日中)","-","一般(1日)","1","0","-","-","-","-","49,060.0","0","0"
"7277","","","約定","-","-","01/13 09:34:49","本日中","2026/01/13","ＮＦ日経レバ","1570 東証(SOR)","信用新規","買建","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","48,830.0","48,830.0","49,060.0","48,830","0"
"7276","","","約定","市場執行済","-","01/13 09:34:03","本日中","2026/01/13","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","48,820.0","48,820.0","49,060.0","48,820","0"
"7275","","","約定","市場執行済","-","01/13 09:34:03","本日中","2026/01/13","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","48,820.0","48,820.0","49,060.0","48,820","0"
"7274","","","約定","-","-","01/13 09:33:50","本日中","2026/01/13","ＮＦ日経レバ","1570 東証(SOR)","信用新規","買建","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","48,810.0","48,800.0","49,060.0","48,800","0"
"7273","","","-","取消済","-","01/13 09:33:19","-","-","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","逆指値注文","-","市場価格が48,640円以下なら成行で執行(本日中)","-","一般(1日)","1","0","-","-","-","-","49,060.0","0","0"
"7272","","","約定","-","-","01/13 09:33:15","本日中","2026/01/13","ＮＦ日経レバ","1570 東証(SOR)","信用新規","買建","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","48,780.0","48,780.0","49,060.0","48,780","0"
"7271","","","約定","-","-","01/13 09:27:06","本日中","2026/01/13","ＮＦ日経レバ","1570 東証(SOR)","信用返済","買埋","特定","通常注文","-","-","-","制度(6ヶ月)","3","3","-","-","48,800.0","48,760.0","49,060.0","146,280","0"
"7270","","","-","取消済","-","01/13 09:26:31","-","-","ＮＦ日経レバ","1570 東証(SOR)","信用返済","買埋","特定","逆指値注文","-","市場価格が49,050円以上なら成行で執行(本日中)","-","制度(6ヶ月)","1","0","-","-","-","-","49,060.0","0","0"
"7269","","","-","取消済","-","01/13 09:26:31","-","-","ＮＦ日経レバ","1570 東証(SOR)","信用返済","買埋","特定","逆指値注文","-","市場価格が49,000円以上なら成行で執行(本日中)","-","制度(6ヶ月)","2","0","-","-","-","-","49,060.0","0","0"
"7268","","","-","取消済","-","01/13 09:21:29","-","-","ＮＦ日経レバ","1570 東証(SOR)","信用返済","買埋","特定","逆指値注文","-","市場価格が49,050円以上なら成行で執行(本日中)","-","制度(6ヶ月)","1","0","-","-","-","-","49,060.0","0","0"
"7267","","","-","取消済","-","01/13 09:21:29","-","-","ＮＦ日経レバ","1570 東証(SOR)","信用返済","買埋","特定","逆指値注文","-","市場価格が49,000円以上なら成行で執行(本日中)","-","制度(6ヶ月)","2","0","-","-","-","-","49,060.0","0","0"
"7266","","","約定","-","-","01/13 09:21:26","本日中","2026/01/13","ＮＦ日経レバ","1570 東証(SOR)","信用新規","売建","特定","通常注文","-","-","-","制度(6ヶ月)","2","2","-","-","48,860.0","48,860.0","49,060.0","97,720","0"
"7265","","","-","取消済","-","01/13 09:19:57","-","-","ＮＦ日経レバ","1570 東証(SOR)","信用返済","買埋","特定","逆指値注文","-","市場価格が49,050円以上なら成行で執行(本日中)","-","制度(6ヶ月)","1","0","-","-","-","-","49,060.0","0","0"
"7264","","","約定","-","-","01/13 09:19:55","本日中","2026/01/13","ＮＦ日経レバ","1570 東証(SOR)","信用新規","売建","特定","通常注文","-","-","-","制度(6ヶ月)","1","1","-","-","48,910.0","48,920.0","49,060.0","48,920","0"
