注文番号,アルゴ注文番号,繰越区分,状況,状況(逆指値),セット注文,注文日時,執行条件,注文期限,銘柄,銘柄コード・市場,取引,売買,口座,注文方法,アルゴ注文情報,逆指値条件,セット注文条件,信用区分(弁済期限),注文数量[株/口],約定数量[株/口],注文金額[円],（ポイント利用）,注文単価[円],約定単価[円],現在値[円],約定代金[円],手数料[円]
"7263","","","約定","-","-","01/09 09:21:54","本日中","2026/01/09","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","3","3","-","-","45,160.0","45,160.0","45,030.0","135,480","0"
"7262","","","取消済（出来無）","市場執行済","-","01/09 09:15:08","本日中","2026/01/09","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","1","0","-","-","45,290.0","-","45,030.0","0","0"
"7261","","","取消済（出来無）","市場執行済","-","01/09 09:15:07","本日中","2026/01/09","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","1","0","-","-","45,290.0","-","45,030.0","0","0"
"7260","","","取消済（出来無）","市場執行済","-","01/09 09:15:07","本日中","2026/01/09","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","1","0","-","-","45,290.0","-","45,030.0","0","0"
"7259","","","約定","-","-","01/09 09:14:34","本日中","2026/01/09","ＮＦ日経レバ","1570 東証(SOR)","信用新規","買建","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","45,270.0","45,270.0","45,030.0","45,270","0"
"7258","","","-","取消済","-","01/09 09:14:23","-","-","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","逆指値注文","-","市場価格が45,120円以下なら成行で執行(本日中)","-","一般(1日)","1","0","-","-","-","-","45,030.0","0","0"
"7257","","","-","取消済","-","01/09 09:14:22","-","-","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","逆指値注文","-","市場価格が45,030円以下なら成行で執行(本日中)","-","一般(1日)","1","0","-","-","-","-","45,030.0","0","0"
"7256","","","約定","-","-","01/09 09:14:20","本日中","2026/01/09","ＮＦ日経レバ","1570 東証(SOR)","信用新規","買建","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","45,240.0","45,240.0","45,030.0","45,240","0"
"7255","","","-","取消済","-","01/09 09:13:31","-","-","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","逆指値注文","-","市場価格が45,030円以下なら成行で執行(本日中)","-","一般(1日)","1","0","-","-","-","-","45,030.0","0","0"
"7254","","","約定","-","-","01/09 09:13:12","本日中","2026/01/09","ＮＦ日経レバ","1570 東証(SOR)","信用新規","買建","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","45,210.0","45,210.0","45,030.0","45,210","0"
"7253","","","約定","市場執行済","-","01/09 09:13:03","本日中","2026/01/09","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","45,180.0","45,180.0","45,030.0","45,180","0"
"7252","","","約定","-","-","01/09 09:12:33","本日中","2026/01/09","ＮＦ日経レバ","1570 東証(SOR)","信用新規","買建","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","45,210.0","45,200.0","45,030.0","45,200","0"
"7251","","","約定","市場執行済","-","01/09 09:11:42","本日中","2026/01/09","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","2","2","-","-","45,150.0","45,155.0","45,030.0","90,310","0"
"7250","","","約定","-","-","01/09 09:10:56","本日中","2026/01/09","ＮＦ日経レバ","1570 東証(SOR)","信用新規","買建","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","45,120.0","45,110.0","45,030.0","45,110","0"
"7249","","","-","取消済","-","01/09 09:09:36","-","-","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","逆指値注文","-","市場価格が44,970円以下なら成行で執行(本日中)","-","一般(1日)","1","0","-","-","-","-","45,030.0","0","0"
"7248","","","約定","-","-","01/09 09:09:34","本日中","2026/01/09","ＮＦ日経レバ","1570 東証(SOR)","信用新規","買建","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","45,110.0","45,110.0","45,030.0","45,110","0"
"7247","","","約定","-","-","01/09 09:08:20","本日中","2026/01/09","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","4","4","-","-","45,070.0","45,070.0","45,030.0","180,280","0"
"7246","","","取消済（出来無）","-","-","01/09 09:04:35","本日中","2026/01/09","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","4","0","-","-","45,050.0","-","45,030.0","0","0"
"7245","","","取消済（出来無）","市場執行済","-","01/09 09:03:28","本日中","2026/01/09","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","1","0","-","-","45,050.0","-","45,030.0","0","0"
"7244","","","取消済（出来無）","市場執行済","-","01/09 09:03:28","本日中","2026/01/09","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","1","0","-","-","45,050.0","-","45,030.0","0","0"
"7243","","","取消済（出来無）","市場執行済","-","01/09 09:03:28","本日中","2026/01/09","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","2","0","-","-","45,050.0","-","45,030.0","0","0"
"7242","","","約定","-","-","01/09 09:03:11","本日中","2026/01/09","ＮＦ日経レバ","1570 東証(SOR)","信用新規","買建","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","45,010.0","45,010.0","45,030.0","45,010","0"
"7241","","","-","取消済","-","01/09 09:03:05","-","-","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","逆指値注文","-","市場価格が44,830円以下なら成行で執行(本日中)","-","一般(1日)","1","0","-","-","-","-","45,030.0","0","0"
"7240","","","-","取消済","-","01/09 09:03:05","-","-","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","逆指値注文","-","市場価格が44,830円以下なら成行で執行(本日中)","-","一般(1日)","2","0","-","-","-","-","45,030.0","0","0"
"7239","","","約定","-","-","01/09 09:03:04","本日中","2026/01/09","ＮＦ日経レバ","1570 東証(SOR)","信用新規","買建","特定","通常注文","-","-","-","一般(1日)","2","2","-","-","44,970.0","44,955.0","45,030.0","89,910","0"
"7238","","","-","取消済","-","01/09 09:02:51","-","-","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","逆指値注文","-","市場価格が44,830円以下なら成行で執行(本日中)","-","一般(1日)","1","0","-","-","-","-","45,030.0","0","0"
"7237","","","約定","-","-","01/09 09:02:49","本日中","2026/01/09","ＮＦ日経レバ","1570 東証(SOR)","信用新規","買建","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","44,970.0","44,960.0","45,030.0","44,960","0"
