注文番号,アルゴ注文番号,繰越区分,状況,状況(逆指値),セット注文,注文日時,執行条件,注文期限,銘柄,銘柄コード・市場,取引,売買,口座,注文方法,アルゴ注文情報,逆指値条件,セット注文条件,信用区分(弁済期限),注文数量[株/口],約定数量[株/口],注文金額[円],（ポイント利用）,注文単価[円],約定単価[円],現在値[円],約定代金[円],手数料[円]
"7915","","","約定","市場執行済","-","02/18 09:16:18","本日中","2026/02/18","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","54,830.0","54,830.0","54,830.0","54,830","0"
"7914","","","約定","-","-","02/18 09:15:24","本日中","2026/02/18","ＮＦ日経レバ","1570 東証(SOR)","信用新規","買建","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","54,840.0","54,840.0","54,830.0","54,840","0"
"7913","","","約定","市場執行済","-","02/18 09:15:01","本日中","2026/02/18","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","54,810.0","54,810.0","54,830.0","54,810","0"
"7912","","","約定","-","-","02/18 09:14:13","本日中","2026/02/18","ＮＦ日経レバ","1570 東証(SOR)","信用新規","買建","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","54,820.0","54,820.0","54,830.0","54,820","0"
"7911","","","約定","市場執行済","-","02/18 09:13:51","本日中","2026/02/18","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","54,790.0","54,790.0","54,830.0","54,790","0"
"7910","","","約定","-","-","02/18 09:13:12","本日中","2026/02/18","ＮＦ日経レバ","1570 東証(SOR)","信用新規","買建","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","54,770.0","54,760.0","54,830.0","54,760","0"
