注文番号,アルゴ注文番号,繰越区分,状況,状況(逆指値),セット注文,注文日時,執行条件,注文期限,銘柄,銘柄コード・市場,取引,売買,口座,注文方法,アルゴ注文情報,逆指値条件,セット注文条件,信用区分(弁済期限),注文数量[株/口],約定数量[株/口],注文金額[円],（ポイント利用）,注文単価[円],約定単価[円],現在値[円],約定代金[円],手数料[円]
"8389","","","約定","-","-","03/10 14:25:25","本日中","2026/03/10","ＮＦ日経レバ","1570 東証(SOR)","信用返済","買埋","特定","通常注文","-","-","-","制度(6ヶ月)","12","12","-","-","48,780.0","48,710.0","-","584,520","0"
"8388","","","約定","-","-","03/10 12:39:08","本日中","2026/03/10","ＮＦ日経レバ","1570 東証(SOR)","信用新規","売建","特定","通常注文","-","-","-","制度(6ヶ月)","12","12","-","-","48,270.0","48,290.0","-","579,480","0"
"8387","","","約定","-","-","03/10 12:35:58","本日中","2026/03/10","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","制度(6ヶ月)","10","10","-","-","42,970.0","48,400.0","-","484,000","0"
"8386","","","約定","-","-","03/10 10:16:17","本日中","2026/03/10","ＮＦ日経レバ","1570 東証(SOR)","信用新規","買建","特定","通常注文","-","-","-","制度(6ヶ月)","10","10","-","-","49,660.0","49,570.0","-","495,700","0"
"8385","","","約定","-","-","03/10 10:15:09","本日中","2026/03/10","ＮＦ日経レバ","1570 東証(SOR)","信用返済","買埋","特定","通常注文","-","-","-","制度(6ヶ月)","8","8","-","-","49,780.0","49,710.0","-","397,680","0"
"8384","","","約定","-","-","03/10 09:56:08","本日中","2026/03/10","ＮＦ日経レバ","1570 東証(SOR)","信用新規","売建","特定","通常注文","-","-","-","制度(6ヶ月)","8","8","-","-","49,110.0","49,160.0","-","393,280","0"
"8382","","","約定","市場執行済","-","03/10 09:55:49","本日中","2026/03/10","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","成行","49,160.0","-","49,160","0"
"8383","","","約定","市場執行済","-","03/10 09:53:50","本日中","2026/03/10","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","成行","49,180.0","-","49,180","0"
"8381","","","約定","市場執行済","-","03/10 09:53:50","本日中","2026/03/10","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","成行","49,180.0","-","49,180","0"
"8380","","","約定","-","-","03/10 09:51:13","本日中","2026/03/10","ＮＦ日経レバ","1570 東証(SOR)","信用新規","買建","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","49,370.0","49,370.0","-","49,370","0"
"8379","","","-","取消済","-","03/10 09:51:02","-","-","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","逆指値注文","-","市場価格が49,180円以下なら成行で執行(本日中)","-","一般(1日)","1","0","-","-","-","-","-","0","0"
"8378","","","約定","-","-","03/10 09:50:56","本日中","2026/03/10","ＮＦ日経レバ","1570 東証(SOR)","信用新規","買建","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","49,360.0","49,360.0","-","49,360","0"
"8377","","","約定","-","-","03/10 09:50:52","本日中","2026/03/10","ＮＦ日経レバ","1570 東証(SOR)","信用新規","買建","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","49,340.0","49,340.0","-","49,340","0"
"8376","","","約定","市場執行済","-","03/10 09:50:40","本日中","2026/03/10","ＮＦ日経レバ","1570 東証(SOR)","信用返済","買埋","特定","通常注文","-","-","-","制度(6ヶ月)","1","1","-","-","49,480.0","49,350.0","-","49,350","0"
"8375","","","約定","市場執行済","-","03/10 09:50:40","本日中","2026/03/10","ＮＦ日経レバ","1570 東証(SOR)","信用返済","買埋","特定","通常注文","-","-","-","制度(6ヶ月)","1","1","-","-","49,480.0","49,350.0","-","49,350","0"
"8374","","","約定","-","-","03/10 09:50:01","本日中","2026/03/10","ＮＦ日経レバ","1570 東証(SOR)","信用新規","売建","特定","通常注文","-","-","-","制度(6ヶ月)","1","1","-","-","49,270.0","49,270.0","-","49,270","0"
"8373","","","約定","-","-","03/10 09:49:52","本日中","2026/03/10","ＮＦ日経レバ","1570 東証(SOR)","信用新規","売建","特定","通常注文","-","-","-","制度(6ヶ月)","1","1","-","-","49,290.0","49,290.0","-","49,290","0"
"8372","","","約定","市場執行済","-","03/10 09:49:37","本日中","2026/03/10","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","49,260.0","49,280.0","-","49,280","0"
"8371","","","約定","-","-","03/10 09:49:18","本日中","2026/03/10","ＮＦ日経レバ","1570 東証(SOR)","信用新規","買建","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","49,330.0","49,330.0","-","49,330","0"
"8370","","","約定","市場執行済","-","03/10 09:49:14","本日中","2026/03/10","ＮＦ日経レバ","1570 東証(SOR)","信用返済","買埋","特定","通常注文","-","-","-","制度(6ヶ月)","1","1","-","-","49,390.0","49,340.0","-","49,340","0"
"8369","","","約定","-","-","03/10 09:47:59","本日中","2026/03/10","ＮＦ日経レバ","1570 東証(SOR)","信用新規","売建","特定","通常注文","-","-","-","制度(6ヶ月)","1","1","-","-","49,120.0","49,240.0","-","49,240","0"
"8368","","","約定","市場執行済","-","03/10 09:47:55","本日中","2026/03/10","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","49,320.0","49,320.0","-","49,320","0"
"8367","","","約定","-","-","03/10 09:47:39","本日中","2026/03/10","ＮＦ日経レバ","1570 東証(SOR)","信用新規","買建","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","49,360.0","49,360.0","-","49,360","0"
"8366","","","約定","市場執行済","-","03/10 09:47:23","本日中","2026/03/10","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","49,330.0","49,330.0","-","49,330","0"
"8365","","","約定","市場執行済","-","03/10 09:47:23","本日中","2026/03/10","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","49,330.0","49,330.0","-","49,330","0"
"8364","","","約定","-","-","03/10 09:47:03","本日中","2026/03/10","ＮＦ日経レバ","1570 東証(SOR)","信用新規","買建","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","49,320.0","49,320.0","-","49,320","0"
